M,S,R,s_ma,rho,beta,shared,n_datasets,e1_reject,e1_reject_lo,e1_reject_hi,e1_reject_bonf,e1_reject_bonf_lo,e1_reject_bonf_hi,e1_fit_fail,e1_se_median,e1_coef_sd,e1_se_over_sd,e1_nonconverged,e1b_lbfgs_local_share,e1b_reject,e1b_reject_lo,e1b_reject_hi,e1b_reject_bonf,e1b_reject_bonf_lo,e1b_reject_bonf_hi,e1b_fit_fail,e1b_se_median,e1b_coef_sd,e1b_se_over_sd,e1b_nonconverged,e1a_lbfgs_local_share,e1a_reject,e1a_reject_lo,e1a_reject_hi,e1a_reject_bonf,e1a_reject_bonf_lo,e1a_reject_bonf_hi,e1a_fit_fail,e1a_se_median,e1a_coef_sd,e1a_se_over_sd,e1a_nonconverged,e2_reject,e2_reject_lo,e2_reject_hi,e2_coverage,t_e1a_median_s
3,19,1,0.0,0.0,0.0,True,200,0.005,0.0008831687156009814,0.02777370439789293,0.0,1.734723475976807e-18,0.018845326377266575,0,0.0101349816859291,0.006866663275186456,1.4759689356769712,45,0.38,0.005,0.0008831687156009814,0.02777370439789293,0.0,1.734723475976807e-18,0.018845326377266575,0,0.009677516446699501,0.006866663275186473,1.4093477514283232,0,0.255,0.055,0.03098534170345884,0.0957869987723084,0.0,1.734723475976807e-18,0.018845326377266575,0,0.00725292994666865,0.006866663275186407,1.0562524556691266,2,0.025,0.010724719651761264,0.05717834040664198,0.975,7.231704473495483
3,19,1,0.0,0.0,0.05,True,200,0.975,0.942821659593358,0.9892752803482386,0.925,0.8799563897637055,0.954025082815618,0,0.0101135978413492,0.00702073343650845,1.4405329489875764,49,0.415,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.0095978848695173,0.0070207334365082075,1.3670772372025635,0,0.255,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.0071916942654678,0.007020733436508081,1.0243508503072793,2,1.0,0.9811546736227335,1.0,0.94,4.558103680610657
3,19,1,0.03,0.0,0.0,True,200,0.11,0.07377244460125303,0.1609269099730149,0.035,0.017055542008567192,0.07047061152229073,0,0.0226481813771848,0.02469874550050357,0.9169769928890938,5,0.025,0.115,0.07786373232561955,0.16664716898487572,0.035,0.017055542008567192,0.07047061152229073,0,0.0225536290937247,0.0246987455005038,0.9131487707853282,0,0.005,0.14,0.09866982633455634,0.1948988086570756,0.04,0.020405632066152306,0.07693206820093293,0,0.02226923928000935,0.02469874550050977,0.9016344283376547,0,0.2,0.15045200926098115,0.2608551865653788,0.8,2.224616289138794
3,19,1,0.03,0.0,0.05,True,200,0.655,0.5867558925905368,0.7174020562325106,0.37,0.30612608409859116,0.4387737007594981,0,0.0214353552034936,0.025921345796242237,0.826938360839314,6,0.025,0.655,0.5867558925905368,0.7174020562325106,0.375,0.31085436858409826,0.44385696301021843,0,0.02115102325273795,0.025921345796241953,0.8159693334982785,0,0.0,0.655,0.5867558925905368,0.7174020562325106,0.39,0.3250834313746962,0.4590625404283025,0,0.0208165631185655,0.02592134579626063,0.8030664488712027,0,0.735,0.6698242380737758,0.7913184585289088,0.755,1.8748708963394165
6,19,1,0.0,0.0,0.0,True,200,0.065,0.03837635464915299,0.10801907929906895,0.0,1.734723475976807e-18,0.018845326377266575,0,0.00696659574660105,0.007381980796406119,0.9437298658366469,60,0.505,0.085,0.05374575017747561,0.13189587071565567,0.0,1.734723475976807e-18,0.018845326377266575,0,0.0066829302353007495,0.007381980796405907,0.9053031184468121,0,0.175,0.065,0.03837635464915299,0.10801907929906895,0.0,1.734723475976807e-18,0.018845326377266575,0,0.00692268895996845,0.0073819807964058065,0.9377820331555211,0,0.08,0.049840585889759974,0.12598948826714396,0.92,5.152027130126953
6,19,1,0.0,0.0,0.05,True,200,0.98,0.9497129130941735,0.9921955735836505,0.955,0.9167032959981803,0.976147456998507,1,0.0070318034431324,0.0070886034869221065,0.9919871320360212,68,0.535,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.0066970111939528496,0.007073242055633799,0.9468092766058693,0,0.235,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.0070132045045617,0.007073242055634477,0.9915120180250369,2,1.0,0.9811546736227335,1.0,0.945,5.840498328208923
6,19,1,0.03,0.0,0.0,True,200,0.085,0.05374575017747561,0.13189587071565567,0.015,0.00511423779325831,0.04316572879269026,0,0.0171018787970491,0.017695999069201735,0.9664262938854554,0,0.0,0.085,0.05374575017747561,0.13189587071565567,0.01,0.0027466581335444384,0.0357217617161768,0,0.017060242388501498,0.01769599906920236,0.9640734225733931,0,0.005,0.08,0.049840585889759974,0.12598948826714396,0.01,0.0027466581335444384,0.0357217617161768,0,0.017372021179227898,0.017695999069198665,0.9816920260504152,0,0.09,0.05768744886219316,0.13776571876716542,0.91,3.8779338598251343
6,19,1,0.03,0.0,0.05,True,200,0.77,0.7069169563469642,0.8229065674093119,0.45,0.3826406840224836,0.5192438486152432,0,0.0170148544522443,0.018637390962159103,0.9129418643838528,3,0.005,0.78,0.7176120008170632,0.8318346164116674,0.45,0.3826406840224836,0.5192438486152432,0,0.0170148544522443,0.01863739096215868,0.9129418643838736,0,0.005,0.775,0.7122587676433947,0.8273763028491088,0.43,0.36334322333434416,0.4992951223584731,0,0.01720326962368115,0.018637390962164813,0.9230513894678161,0,0.78,0.7176120008170632,0.8318346164116674,0.88,4.1414453983306885
3,19,1,0.0,0.0,0.0,False,200,0.0,1.734723475976807e-18,0.018845326377266575,0.0,1.734723475976807e-18,0.018845326377266575,0,0.0116694449804917,0.004869495387119041,2.396438245194794,67,0.375,0.0,1.734723475976807e-18,0.018845326377266575,0.0,1.734723475976807e-18,0.018845326377266575,0,0.0110864311132683,0.004869495387118999,2.276710466261989,1,0.92,0.06,0.03465219425433187,0.1019316929576627,0.0,1.734723475976807e-18,0.018845326377266575,0,0.0049189158593759,0.0048695639674917095,1.0101347661132811,0,0.0,1.734723475976807e-18,0.018845326377266575,1.0,2.7939361333847046
3,19,1,0.0,0.0,0.05,False,200,0.92,0.874010511732856,0.9501594141102401,0.815,0.7554293723884824,0.8626980719938395,0,0.01161526913024995,0.004482082741736162,2.5914892248844796,59,0.34,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.01115213977805465,0.004482082741736302,2.4881601747794715,0,0.935,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,0,0.00493510724958695,0.004482082741736327,1.1010745526029992,0,1.0,0.9811546736227335,1.0,0.995,2.944505453109741
