grid,families,n_tests,pi1,procedure,fdr,fdr_mc_halfwidth,fwer,power,fdr_holds
e8_5,"{""Q1"": 12}",36,0.0,v2,0.4308,0.013727289601780907,0.4308,,False
e8_5,"{""Q1"": 12}",36,0.0,bh_within,0.0418,0.005547926861602661,0.0418,,True
e8_5,"{""Q1"": 12}",36,0.0,by_across,0.0118,0.002993490825217964,0.0118,,True
e8_5,"{""Q1"": 12}",36,0.1,v2,0.2039179292929293,0.007426651937322857,0.4444,0.7442052518728696,False
e8_5,"{""Q1"": 12}",36,0.1,bh_within,0.04115103174603174,0.003918865753526104,0.0976,0.5239359264017915,True
e8_5,"{""Q1"": 12}",36,0.1,by_across,0.010986666666666665,0.0023295039842886694,0.0208,0.33819691731858026,True
e8_5,"{""Q1"": 12}",36,0.3,v2,0.08202119682604977,0.0031197809855595163,0.4382,0.7643112056983264,False
e8_5,"{""Q1"": 12}",36,0.3,bh_within,0.03519391982888113,0.002182397549890341,0.2104,0.6660388196684637,True
e8_5,"{""Q1"": 12}",36,0.3,by_across,0.008373870573870573,0.0012126759622138673,0.044,0.4476046124858973,True
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.0,v2,0.9964,0.0016602848797650342,0.9964,,False
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.0,bh_within,0.1578,0.01010591453124865,0.1578,,False
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.0,by_across,0.0066,0.0022446495653295697,0.0066,,True
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.1,v2,0.2454945873219157,0.002506998738425779,0.9966,0.7434225161573211,False
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.1,bh_within,0.05637184438126733,0.0018345825685762323,0.5516,0.5117340592765044,False
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.1,by_across,0.007025793539629184,0.0009164512297970829,0.0542,0.23236562286157528,True
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.3,v2,0.08344114271782037,0.000996667762569497,0.9966,0.7667958001667102,False
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.3,bh_within,0.03653715954833876,0.0007108059602511152,0.8844,0.6711600510662098,True
reviewer,"{""Q1"": 30, ""Q2"": 30, ""Q3"": 45, ""Q4"": 15}",360,0.3,by_across,0.005295360342010024,0.00037562480992852737,0.1636,0.37065129979864425,True
