phi,phi_is_pilot,n_runs,null,size,size_lo,size_hi,size_holds,reps
0.9,False,3,N0,0.087,0.071074421452375,0.10608648105669352,False,1000
0.9,False,3,N1,0.106,0.08840506686305154,0.12661041882356588,False,1000
0.9,False,3,N2,0.111,0.09299921045824965,0.13197800764351225,False,1000
0.9,False,3,N3,0.0,2.168404344971009e-19,0.0038267584855551234,True,1000
0.9,False,36,N0,0.062,0.04866418011998064,0.07868806031336564,True,1000
0.9,False,36,N1,0.101,0.08382401065239914,0.12122974261907385,False,1000
0.9,False,36,N2,0.109,0.09116003338451377,0.12983249175119035,False,1000
0.9,False,36,N3,0.044,0.0329382145884185,0.058551789150407776,True,1000
0.97,False,3,N0,0.166,0.1442254718306115,0.19033080283773937,False,1000
0.97,False,3,N1,0.233,0.20785061925196213,0.2601928697793244,False,1000
0.97,False,3,N2,0.243,0.2174334622970866,0.27053349156448875,False,1000
0.97,False,3,N3,0.0,2.168404344971009e-19,0.0038267584855551234,True,1000
0.97,False,36,N0,0.135,0.11521137849166019,0.15758215520279512,False,1000
0.97,False,36,N1,0.225,0.20019895514206568,0.25190576202498965,False,1000
0.97,False,36,N2,0.229,0.20402312975052514,0.25605097334864574,False,1000
0.97,False,36,N3,0.045,0.03379951228563171,0.059682837936223455,True,1000
0.99,False,3,N0,0.269,0.24243819128491245,0.297329771135414,False,1000
0.99,False,3,N1,0.365,0.3357304774271326,0.3953027473639673,False,1000
0.99,False,3,N2,0.384,0.35435414144032196,0.4145336665283268,False,1000
0.99,False,3,N3,0.0,2.168404344971009e-19,0.0038267584855551234,True,1000
0.99,False,36,N0,0.237,0.21168136426041648,0.2643315107029855,False,1000
0.99,False,36,N1,0.336,0.30740158982270954,0.36585358696055253,False,1000
0.99,False,36,N2,0.365,0.3357304774271326,0.3953027473639673,False,1000
0.99,False,36,N3,0.056,0.043374813385442,0.07202334814973096,True,1000
0.9214,True,3,N0,0.088,0.07198099794232085,0.10717225104977657,False,1000
0.9214,True,3,N1,0.105,0.08748778261441682,0.1255353565891717,False,1000
0.9214,True,3,N2,0.124,0.10499997337198466,0.14587774900915282,False,1000
0.9214,True,3,N3,0.0,2.168404344971009e-19,0.0038267584855551234,True,1000
0.9214,True,36,N0,0.071,0.056669695350451466,0.08861366343015481,False,1000
0.9214,True,36,N1,0.119,0.10037518436701058,0.1405408055989824,False,1000
0.9214,True,36,N2,0.12,0.10129926060130913,0.14160907584771276,False,1000
0.9214,True,36,N3,0.043,0.03207865341171336,0.057419003844084014,True,1000
