Model,metric,n_runs,n_pairs,df_d,sigma_d_R,R_harmonic,sigma2_rep,df_rep,sigma2_int,sigma_d_R1,sigma_d_R2,sigma_d_R3,mean_d,share_int_R1,sigma_d_R_chi2_ucl90,sigma_d_R1_mls90,sigma_d_R2_mls90,sigma_d_R3_mls90,sigma_d_R1_ucl90,sigma_d_R1_ucl80,sigma_d_R1_ucl95,sigma_d_R2_ucl90,sigma_d_R2_ucl80,sigma_d_R2_ucl95,sigma_d_R3_ucl90,sigma_d_R3_ucl80,sigma_d_R3_ucl95,reml_sigma2_path,reml_sigma2_path_arm,reml_sigma2_rep,icc_path,icc_path_arm,reml_converged,reml_n
gemini-2.5-flash,band_mas,576,96,84,0.031338218766259446,3.0,0.00016962465307108934,384,0.0008690008533945428,0.034759892973608555,0.03222771332976685,0.031338218766259446,0.046759594954367434,0.7192226266518708,0.03486226220310181,0.0379822015358277,0.035664941279241316,0.03486226220310181,0.037246201248400515,0.03570074620843712,0.03840856593204568,0.034386956600112185,0.03295258437545574,0.035336456664916534,0.03349318836759545,0.03207141468716235,0.03451065195004101,0.001074739547829998,4.969788629044218e-09,0.0025066164489366354,0.3000924949667215,1.3876815756509508e-06,True,576
gemini-2.5-flash,v21_mcr_B_0.05,576,96,84,0.045515730811683024,3.0,0.00024523533886481995,384,0.0019081915254117116,0.04897613912040588,0.0464050305923456,0.045515730811683024,0.04163086704171732,0.7955232391258317,0.05063406295545792,0.053776241673833235,0.05143561001229828,0.05063406295545792,0.05557140491227813,0.05323955608687876,0.057123774508751265,0.05307125065607863,0.05085582148244626,0.0545909073506897,0.05219960584173514,0.05003664955425699,0.05378626026363911,0.002175807927529383,3.75031855307444e-11,0.005632613856049102,0.27864887135771776,4.802914902662011e-09,True,576
gemini-2.5-flash,v21_mcr_D_0.05,576,96,84,0.020666720656576803,3.0,8.166138007746503e-05,384,0.00037267242264533496,0.02315156976967793,0.02131510738238961,0.020666720656576803,0.002099997428058643,0.695290619401348,0.022990733448563484,0.025259527905883636,0.023576071337152695,0.022990733448563484,0.02593742921573935,0.024625869001954896,0.026525080152692386,0.0242429086478909,0.02297767358421671,0.024791732890406575,0.023589475441266577,0.022425898577256482,0.02425647577442485,0.00039643950790769345,1.0547899152511636e-11,0.0010447796748889718,0.2750723205314081,7.31873347317396e-09,True,576
gemini-2.5-flash,v21_mcr_0.05,576,96,84,0.05845959480561228,3.0,0.0003199808586151288,384,0.0032042036524262845,0.06200133361191953,0.0593648423820144,0.05845959480561228,0.043730864469775976,0.8335238847210584,0.06503348954199688,0.06824314507981652,0.06584896186227458,0.06503348954199688,0.07252283205481526,0.06945141500922408,0.07500439275496391,0.07014826477625155,0.0674894824140076,0.07267445116388743,0.06940672633499495,0.06667127361164892,0.07190170740835108,0.002209865389760138,4.7561136110825106e-05,0.0064881272801705706,0.25268444272031537,0.00543832182222346,True,576
gemini-2.5-flash,v21_mcr_B_0.002,576,96,84,0.030943855905955085,3.0,0.00016895292354385691,384,0.00084488693596594,0.03439175457945776,0.031840852053765724,0.030943855905955085,0.04656821559932811,0.7143152613635911,0.034423552474841884,0.03756826969971231,0.03523306655068172,0.034423552474841884,0.036917274387386054,0.03529246999916718,0.037965108820829985,0.03391618111870338,0.03250078129278785,0.03508673288618323,0.03297736541836337,0.031626150528425566,0.03423918351924278,0.0011002108126242868,1.2787922222268335e-09,0.0025207023710378603,0.3038488823838521,3.53168304716049e-07,True,576
gemini-2.5-flash,v21_mcr_D_0.002,576,96,84,0.010049585742239268,3.0,2.323031676994398e-05,384,8.550729574398944e-05,0.011487729509519165,0.010427732855896023,0.010049585742239268,0.001756104935544665,0.6479399669904187,0.011179681136048086,0.012496400693767945,0.011521341992497328,0.011179681136048088,0.011945955446575547,0.011628110520387902,0.012142309611257127,0.010840967299903859,0.010540719673920925,0.011067709327918404,0.010473746324353701,0.010156936222248645,0.010690188414865106,0.00017641318111157872,2.2900788529431487e-07,0.0002948235317234589,0.37418029213671083,0.000485736025398461,True,576
gemini-2.5-flash,v21_mcr_0.002,576,96,84,0.03380177308630589,3.0,0.0002006603885772566,384,0.0010087862713932757,0.037551392098666446,0.034777099648627,0.03380177308630589,0.048324320534872796,0.7153969426875663,0.03760284798105012,0.041022546686955055,0.038483037318457855,0.03760284798105012,0.04019528560406072,0.0388220412411789,0.041379749713944744,0.0374291800137339,0.03591993243034991,0.038649543532557236,0.03651074628775928,0.03493747336692981,0.03768348307208102,0.0012129276274429794,7.536676628867593e-11,0.0030862763910154646,0.2821284128346135,1.753039973071352e-08,True,576
gemini-2.5-flash,turnover,576,96,84,8.885568684405944,3.0,8.993838791985164,384,72.95743831730549,9.536514871863611,9.052694466803276,8.885568684405944,-9.299614580113854,0.8022139242364967,9.884768104080885,10.475642561643973,10.03538765653695,9.884768104080887,10.219411901117637,9.809862051644675,10.572368034241828,9.74522386056836,9.330708675428657,10.104168664634344,9.586788839316782,9.167012667770136,9.938120124377114,6.837127894646228,13.69820364015883,33.274998992303644,0.12705976394628912,0.2545645697763911,True,576
gpt-5-mini,band_mas,144,24,21,0.06513184722346853,3.0,0.00012315050795583835,96,0.004160057184104019,0.06638040524142419,0.06544621984545676,0.06513184722346853,0.025910400831288472,0.9441032696999533,0.08202866507725759,0.0830250781332103,0.0822786021921279,0.0820286650772576,0.07879348914974371,0.07354849724092931,0.084284637830853,0.07798996935256625,0.07266430817985862,0.08348977996415564,0.0777104857011115,0.07236393643200141,0.08322129159109999,0.001292120349874507,0.0003767162570963096,0.0026954995039621447,0.29606343714858646,0.08631696723646227,True,144
gpt-5-mini,v21_mcr_B_0.05,144,24,21,0.060620002790834175,3.0,0.00018000200862990066,96,0.0035547833992741426,0.06256826205460676,0.06111289068522322,0.060620002790834175,0.010186439322788322,0.9080399574854718,0.07634633620709012,0.07790641454304052,0.07673854284815529,0.07634633620709012,0.07063125614092385,0.06642114104347913,0.07417333715945618,0.06928778866833478,0.06507639692997728,0.07286517698001228,0.06875023485051261,0.06464994904046492,0.0723355050565169,0.0010125876645142623,0.00034803416977690916,0.002524560575270504,0.26062808840640816,0.08957987890616807,True,144
