gpt-5-mini: 144 runs in the design, 2 done, 142 pending, 0 abandoned after 3 non-ok attempts; spend so far $3.43 (stop at $177.00)
[1/142] gpt-5-mini__ISFJ__static__bull_trap__seed2002__rep1 -> ok (1360s, $0.306, fallbacks 0); spend $11.75; ETA 72.4 h
[2/142] gpt-5-mini__ISFJ__static__bull_trap__seed2002__rep0 -> ok (1373s, $0.313, fallbacks 0); spend $12.06; ETA 36.2 h
[3/142] gpt-5-mini__ISFJ__static__bull_trap__seed2002__rep2 -> ok (1380s, $0.311, fallbacks 0); spend $12.37; ETA 24.0 h
[4/142] gpt-5-mini__ISFJ__static__bull_trap__seed2005__rep0 -> ok (1385s, $0.310, fallbacks 0); spend $12.68; ETA 17.9 h
[5/142] gpt-5-mini__ISFJ__static__bull_trap__seed2003__rep0 -> ok (1437s, $0.322, fallbacks 0); spend $13.00; ETA 14.6 h
[6/142] gpt-5-mini__ISFJ__static__bull_trap__seed2003__rep2 -> ok (1452s, $0.321, fallbacks 0); spend $13.32; ETA 12.2 h
[7/142] gpt-5-mini__ISFJ__static__bull_trap__seed2004__rep0 -> ok (1459s, $0.325, fallbacks 0); spend $13.65; ETA 10.4 h
[8/142] gpt-5-mini__ISFJ__static__bull_trap__seed2003__rep1 -> ok (1465s, $0.317, fallbacks 0); spend $13.97; ETA 9.1 h
[9/142] gpt-5-mini__ISFJ__static__bull_trap__seed2004__rep1 -> ok (1492s, $0.335, fallbacks 0); spend $14.30; ETA 8.1 h
[10/142] gpt-5-mini__ISFJ__static__bull_trap__seed2004__rep2 -> ok (1502s, $0.332, fallbacks 0); spend $14.63; ETA 7.3 h
[11/142] gpt-5-mini__ISFJ__static__bull_trap__seed2001__rep1 -> ok (1506s, $0.333, fallbacks 0); spend $14.97; ETA 6.6 h
[12/142] gpt-5-mini__ISFJ__static__bull_trap__seed2001__rep2 -> ok (1568s, $0.337, fallbacks 0); spend $16.64; ETA 6.2 h
[13/142] gpt-5-mini__ISFJ__static__bull_trap__seed2005__rep1 -> ok (1357s, $0.309, fallbacks 0); spend $26.66; ETA 8.8 h
[14/142] gpt-5-mini__ISFJ__static__bull_trap__seed2005__rep2 -> ok (1354s, $0.311, fallbacks 0); spend $27.14; ETA 8.2 h
[15/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2001__rep1 -> ok (1200s, $0.282, fallbacks 0); spend $27.59; ETA 7.7 h
[16/142] gpt-5-mini__ISFJ__static__bull_trap__seed2006__rep1 -> ok (1432s, $0.322, fallbacks 0); spend $29.26; ETA 7.2 h
[17/142] gpt-5-mini__ISFJ__static__bull_trap__seed2006__rep0 -> ok (1445s, $0.330, fallbacks 0); spend $29.59; ETA 6.8 h
[18/142] gpt-5-mini__ISFJ__static__bull_trap__seed2008__rep1 -> ok (1377s, $0.314, fallbacks 0); spend $30.59; ETA 6.4 h
[19/142] gpt-5-mini__ISFJ__static__bull_trap__seed2007__rep1 -> ok (1443s, $0.332, fallbacks 0); spend $30.92; ETA 6.1 h
[20/142] gpt-5-mini__ISFJ__static__bull_trap__seed2008__rep2 -> ok (1398s, $0.317, fallbacks 0); spend $31.23; ETA 5.7 h
[21/142] gpt-5-mini__ISFJ__static__bull_trap__seed2008__rep0 -> ok (1417s, $0.319, fallbacks 0); spend $31.55; ETA 5.4 h
[22/142] gpt-5-mini__ISFJ__static__bull_trap__seed2006__rep2 -> ok (1511s, $0.334, fallbacks 0); spend $31.89; ETA 5.2 h
[23/142] gpt-5-mini__ISFJ__static__bull_trap__seed2007__rep0 -> ok (1501s, $0.337, fallbacks 0); spend $32.22; ETA 4.9 h
[24/142] gpt-5-mini__ISFJ__static__bull_trap__seed2007__rep2 -> ok (1501s, $0.335, fallbacks 0); spend $32.56; ETA 4.7 h
[25/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2002__rep0 -> ok (1184s, $0.278, fallbacks 0); spend $41.45; ETA 5.7 h
[26/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2002__rep1 -> ok (1174s, $0.274, fallbacks 0); spend $41.89; ETA 5.5 h
[27/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2001__rep2 -> ok (1228s, $0.284, fallbacks 0); spend $42.18; ETA 5.2 h
[28/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2002__rep2 -> ok (1187s, $0.277, fallbacks 0); spend $42.96; ETA 5.1 h
[29/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2004__rep0 -> ok (1160s, $0.274, fallbacks 0); spend $44.08; ETA 4.9 h
[30/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2003__rep0 -> ok (1241s, $0.286, fallbacks 0); spend $44.36; ETA 4.7 h
[31/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2004__rep1 -> ok (1164s, $0.270, fallbacks 0); spend $44.63; ETA 4.5 h
[32/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2004__rep2 -> ok (1171s, $0.272, fallbacks 0); spend $44.91; ETA 4.4 h
[33/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2003__rep1 -> ok (1242s, $0.287, fallbacks 0); spend $45.36; ETA 4.2 h
[34/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2005__rep1 -> ok (1161s, $0.269, fallbacks 0); spend $45.80; ETA 4.1 h
[35/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2005__rep0 -> ok (1178s, $0.273, fallbacks 0); spend $46.08; ETA 3.9 h
[36/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2003__rep2 -> ok (1255s, $0.287, fallbacks 0); spend $46.36; ETA 3.8 h
[37/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2005__rep2 -> ok (1207s, $0.275, fallbacks 0); spend $52.58; ETA 4.4 h
[38/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2006__rep0 -> ok (1181s, $0.274, fallbacks 0); spend $52.85; ETA 4.3 h
[39/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2006__rep1 -> ok (1219s, $0.278, fallbacks 0); spend $53.13; ETA 4.1 h
[40/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2006__rep2 -> ok (1210s, $0.274, fallbacks 0); spend $54.04; ETA 4.0 h
[41/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2007__rep2 -> ok (1205s, $0.273, fallbacks 0); spend $54.95; ETA 3.9 h
[42/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2007__rep1 -> ok (1214s, $0.274, fallbacks 0); spend $55.23; ETA 3.8 h
[43/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2007__rep0 -> ok (1238s, $0.275, fallbacks 0); spend $55.83; ETA 3.7 h
[44/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2008__rep2 -> ok (1247s, $0.277, fallbacks 0); spend $56.27; ETA 3.6 h
[45/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2008__rep1 -> ok (1258s, $0.276, fallbacks 0); spend $56.54; ETA 3.5 h
[46/142] gpt-5-mini__ISFJ__memory__bull_trap__seed2008__rep0 -> ok (1279s, $0.279, fallbacks 0); spend $56.98; ETA 3.4 h
