s_int,s_rep,i,sigma2_int,sigma2_rep,truth_R1,est_R1,ucl90_R1,covers_R1,mls90_R1,mls_covers_R1,n_seeds_mls_R1,truth_R3,est_R3,ucl90_R3,covers_R3,mls90_R3,mls_covers_R3,n_seeds_mls_R3,n_seeds_truth_R1,n_seeds_plugin_R1
0.03,0.04,0,0.0011715290845999956,0.001477817781885402,0.06403124237432849,0.06424301244782034,0.06531125675885112,True,0.0683843425610285,True,62,0.0443471156521669,0.04644072500715577,0.047568337476644025,True,0.05166307454094208,True,35,54,56
0.03,0.04,1,0.000656434324910294,0.001310147420713959,0.06403124237432849,0.05724272151407733,0.05741973229851196,False,0.06066557177362909,False,49,0.0443471156521669,0.0391135007218684,0.039211206709654806,False,0.043511889683886674,False,25,54,44
0.03,0.04,2,0.0005478454036983414,0.0016973465345669824,0.06403124237432849,0.06278963666746533,0.06370897501956088,False,0.06634556176012898,True,58,0.0443471156521669,0.0409806022415036,0.0416339071259877,False,0.045588950388032796,True,28,54,53
0.03,0.04,3,0.0005580704896684234,0.0016534417421412168,0.06403124237432849,0.062168754000308364,0.0630443411063027,False,0.0657062793568388,True,57,0.0443471156521669,0.040747576423994035,0.04115634945974868,False,0.045329720365717134,True,27,54,52
0.03,0.04,4,0.0008229565878621783,0.0016275254200635366,0.06403124237432849,0.06385927832342965,0.06475938908343203,True,0.06768280280065407,True,60,0.0443471156521669,0.043680356392447196,0.044388075361211095,True,0.048592297125641344,True,31,54,55
0.03,0.04,5,0.001029479248167208,0.0015862814740828287,0.06403124237432849,0.06482316095604151,0.06590178617101629,True,0.06885806876236188,True,62,0.0443471156521669,0.045683697649042086,0.046308786562013614,True,0.0508209179892144,True,34,54,57
0.03,0.04,6,0.0012586456975087882,0.001459929128165249,0.06403124237432849,0.06464134863877212,0.06621904983645302,True,0.06887395180676859,True,62,0.0443471156521669,0.04724332527407748,0.049457759808775766,True,0.05255592876339807,True,37,54,58
0.03,0.04,7,0.0007702255254205873,0.0016417350116850425,0.06403124237432849,0.06366863865978817,0.06480569242399431,True,0.06744074054199423,True,60,0.0443471156521669,0.04318235210373117,0.04394275545387052,False,0.04803829128947749,True,31,54,55
0.03,0.04,8,0.0008919130821854493,0.0014595775248174992,0.06403124237432849,0.06173384915765781,0.06248422301655361,False,0.06553870198210324,True,57,0.0443471156521669,0.04318523781799882,0.04381838714689006,False,0.04804150150790734,True,31,54,51
0.03,0.04,9,0.0015746444250566518,0.0014708402061236756,0.06403124237432849,0.06720360732359539,0.0680873307404634,True,0.07179480135946942,True,68,0.0443471156521669,0.0505490312713551,0.05176027168512399,True,0.05623336780685568,True,42,54,61
