models,seeds_per_cell,tau_over_flash_limit,tau,within_sigma_d,sigma_d,power_alpha_bonf,power_alpha_nominal,label,reference
2,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.004551628021393959,0.1625543022607631,DESIGN,t with M - 1 df
3,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.015472706817594826,0.4231616899756514,DESIGN,t with M - 1 df
4,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.04811496695676061,0.6939592511188425,DESIGN,t with M - 1 df
5,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.12256334700725169,0.8639359161246598,DESIGN,t with M - 1 df
6,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.2483575588928627,0.9460421462063848,DESIGN,t with M - 1 df
8,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.579600898517672,0.9931529096358853,DESIGN,t with M - 1 df
10,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.8349628237035243,0.9992756733922266,DESIGN,t with M - 1 df
12,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.951635864947895,0.9999320148085894,DESIGN,t with M - 1 df
14,19,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9887209247179534,0.9999941500894464,DESIGN,t with M - 1 df
2,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.005891074478849609,0.2093997481341743,DESIGN,t with M - 1 df
3,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.024916720096677,0.5888298197968391,DESIGN,t with M - 1 df
4,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.09134354738685402,0.8750275730080084,DESIGN,t with M - 1 df
5,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.24673324325362694,0.9732195505574457,DESIGN,t with M - 1 df
6,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.47748644671613966,0.995350909348741,DESIGN,t with M - 1 df
8,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.8631762360369175,0.9999027265417064,DESIGN,t with M - 1 df
10,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.982438678341392,0.9999984731477789,DESIGN,t with M - 1 df
12,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9986779359333533,0.9999999799348679,DESIGN,t with M - 1 df
14,19,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9999325952765046,0.9999999997671394,DESIGN,t with M - 1 df
2,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.00295945824786361,0.10614417584900651,DESIGN,t with M - 1 df
3,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.007100232599875648,0.22334298012348625,DESIGN,t with M - 1 df
4,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.016520251190281967,0.37029374770539386,DESIGN,t with M - 1 df
