model,config_tag,kind,n_runs,n_status_ok,mean_s_per_run,median_s_per_run,p90_s_per_run,s_per_call,busy_hours,runs_per_busy_hour,effective_concurrency,runs_per_stream_hour,usd_per_run,input_tokens_per_call,output_tokens_per_call,reasoning_tokens_per_call,llm_errors,fallbacks,temperature,provider_options,first_utc,last_utc,ledgers
claude-fable-5-1,default,pilot,93,93,1674.0787954458626,1637.2795259952545,2183.727142858505,8.370393977229313,3.132510980963707,29.688642933787527,13.805868778060374,2.1504364130251115,,2797.962365591398,341.27462365591396,181.66451612903225,0,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 4096, ""model"": ""claude-fable-5-1"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T16:49:18Z,2026-09-11T19:22:50Z,docs/env_v2/generated/v2_1/e9_2/ledger_default_claude-fable-5-1.jsonl
claude-fable-5-1,default,smoke,2,2,1804.8972758054733,1804.8972758054733,1836.9420598745346,9.024486379027367,0.5124870155255,3.902537897373295,1.9565777832490778,1.9945733467814253,,2827.445,406.8625,241.815,0,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 4096, ""model"": ""claude-fable-5-1"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T12:42:36Z,2026-09-11T12:43:56Z,docs/env_v2/generated/v2_1/e9_0/smoke/ledger_default_claude-fable-5-1.jsonl
claude-haiku-4-5-20251001,default,pilot,252,252,660.8024334065498,642.5249854326248,750.4038263082505,3.304012167032749,3.142243812084198,80.19746877402636,14.720745144145113,5.447921826560751,,1889.2827182539681,177.48424603174604,0.0,0,0,0.2,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 64000, ""model"": ""claude-haiku-4-5-20251001"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": 0.2, ""temperature_sent"": 0.2}",2026-09-11T16:33:37Z,2026-09-11T19:23:25Z,docs/env_v2/generated/v2_1/e9_2/ledger_default_claude-haiku-4-5-20251001.jsonl
claude-haiku-4-5-20251001,default,smoke,2,2,592.2398427724838,592.2398427724838,594.7372223615646,2.961199213862419,0.16558836619059245,12.078143205410923,1.986988231376697,6.07861839073023,,2007.435,172.83,0.0,0,0,0.2,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 64000, ""model"": ""claude-haiku-4-5-20251001"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": 0.2, ""temperature_sent"": 0.2}",2026-09-11T12:23:00Z,2026-09-11T12:23:07Z,docs/env_v2/generated/v2_1/e9_0/smoke/ledger_default_claude-haiku-4-5-20251001.jsonl
claude-opus-5,default,pilot,110,110,1256.3214085167106,1232.3530986309052,1373.89360806942,6.281607042583552,2.946511634522014,37.33228089487734,13.028151032498274,2.86550875882182,,2826.745590909091,332.8255,164.8604090909091,9,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 128000, ""model"": ""claude-opus-5"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T16:44:17Z,2026-09-11T19:11:41Z,docs/env_v2/generated/v2_1/e9_2/ledger_default_claude-opus-5.jsonl
claude-opus-5,default,smoke,2,2,1379.0731346607208,1379.0731346607208,1441.724648141861,6.895365673303604,0.4049329841136932,4.9390888825160735,1.8920457743275994,2.610448938145453,,2825.655,367.1225,192.0975,1,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 128000, ""model"": ""claude-opus-5"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T12:34:52Z,2026-09-11T12:37:29Z,docs/env_v2/generated/v2_1/e9_0/smoke/ledger_default_claude-opus-5.jsonl
claude-sonnet-5,default,pilot,158,158,995.1764874956276,912.5161544084549,1454.3560075998307,4.975724977826941,3.139700818128056,50.32326618120332,13.911258688199284,3.6174488095668726,,2753.7426663713172,311.04718205120093,149.7289642732825,0,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 128000, ""model"": ""claude-sonnet-5"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T16:37:46Z,2026-09-11T19:23:16Z,docs/env_v2/generated/v2_1/e9_2/ledger_default_claude-sonnet-5.jsonl
claude-sonnet-5,default,smoke,2,2,1012.8119684457779,1012.8119684457779,1295.2426680803298,5.06405984222889,0.3794028730524911,5.27144136761267,1.4830496966884146,3.5544603659496845,,2825.275,334.9375,171.895,0,0,nan,"{""config_tag"": ""default"", ""max_retries"": 8, ""max_tokens_client"": 128000, ""model"": ""claude-sonnet-5"", ""options"": {}, ""provider"": ""anthropic"", ""temperature_client"": null, ""temperature_sent"": null}",2026-09-11T12:24:11Z,2026-09-11T12:35:57Z,docs/env_v2/generated/v2_1/e9_0/smoke/ledger_default_claude-sonnet-5.jsonl
gemini-2.5-flash,thinking0,batch,574,574,398.84885319683195,336.35067880153656,503.3530242681505,1.994192152948804,4.450543507668707,128.9730117256339,14.289093838919623,9.025975557270563,0.164605606271777,1817.353727690043,111.12016236509498,0.0,0,1,0.2,NaN,2026-09-10T10:16:48Z,2026-09-10T14:36:25Z,docs/env_v2/generated/v2_1/e8_5/ledger_thinking0_gemini-2.5-flash.jsonl
gemini-2.5-flash,thinking0,smoke,2,2,243.7768213748932,243.7768213748932,245.8661072254181,1.218884106874466,0.06844123019112482,29.222151536653005,1.9788008931502001,14.767605794907487,0.16845554999999998,1925.53,105.8475,0.0,0,0,0.2,NaN,2026-09-10T09:25:00Z,2026-09-10T09:25:05Z,docs/env_v2/generated/v2_1/e8_5/ledger.jsonl
