Model,Persona,Arm,Scenario,Seed,Decode_Replicate,band_mas,v21_mcr_B_0.05,v21_mcr_D_0.05,v21_mcr_0.05,v21_mcr_B_0.002,v21_mcr_D_0.002,v21_mcr_0.002,turnover,mdd_pct,return_pct,fallback_share,trade_count
gpt-5-mini|default,ISFJ,static,flat,3001,0,0.05140171290520794,0.02119107168121035,0.05421349669414725,0.07540456837535758,0.051157500407244136,0.06256334683522805,0.11372084724247215,4.181976286725227,-6.2891476562905835,-0.9871695067155684,0.0,55
gpt-5-mini|default,ISFJ,static,flat,3002,0,0.05767796569488572,0.057921557878222577,0.1728937841461208,0.23081534202434337,0.05815113079147467,0.12250104813669008,0.1806521789281647,4.770510079182181,-8.098056926756358,-1.5277002014158492,0.0,62
gpt-5-mini|default,ISFJ,static,flat,3003,0,0.06837643402818123,0.08749317124995835,0.047235894983068336,0.13472906623302675,0.06805700406886989,0.06756998066680912,0.13562698473567908,3.5837191081717172,-1.5709328504857734,2.3797092067545877,0.0,46
gpt-5-mini|default,ISFJ,static,flat,3004,0,0.027446867074985518,0.006951532455065131,0.027907371613944906,0.03485890406901004,0.027428226669024676,0.0762793783303517,0.10370760499937635,5.624354253310397,-5.2132005024104755,1.602980711091595,0.0,68
gpt-5-mini|default,ISFJ,static,flat,3005,0,0.05536361440868151,0.07999390039200985,0.08013615651246267,0.16013005690447252,0.055331629629394224,0.08340564130566301,0.13873727093505722,5.390742749376133,-0.943753061195951,8.281747814305973,0.0,62
gpt-5-mini|default,ISFJ,static,flat,3006,0,0.09038236605386751,0.16367477130243763,0.11350471410864181,0.2771794854110795,0.09257522184176509,0.08511691287071621,0.17769213471248127,4.334848402383672,-2.632528507795262,5.768459655810565,0.0,59
gpt-5-mini|default,ISFJ,static,flat,3007,0,0.029025475194019813,0.01665944857324383,0.09107085095970692,0.10773029953295075,0.028336941054292908,0.11583841382263199,0.1441753548769249,5.518625823034503,-5.265884111276275,-0.7276254108918856,0.0,75
gpt-5-mini|default,ISFJ,static,flat,3008,0,0.056936637172893045,0.06351848900137307,0.19500413896188806,0.2585226279632611,0.05885157032662037,0.13971542825765573,0.19856699858427615,4.821451873687814,-3.360215082466622,5.322611593000959,0.0,68
gpt-5-mini|default,ISFJ,static,flat,3009,0,0.059502778542556894,0.05891124420173465,0.03530859560132765,0.0942198398030623,0.05855210211663923,0.060614667216760496,0.1191667693333997,3.336121889873661,-3.417864921550273,-2.6213303513618835,0.0,46
gpt-5-mini|default,ISFJ,static,flat,3010,0,0.10320538185775362,0.08967254735043591,0.144262544003648,0.23393509135408388,0.10237145939796859,0.1371636322478859,0.2395350916458545,6.5521587915772,-2.568945644722187,11.53367425173608,0.0,68
gpt-5-mini|default,ISFJ,static,flat,3011,0,0.08028032372490113,0.08615182030600467,0.20000000000000012,0.28615182030600483,0.07992628811867739,0.16766371293785218,0.24759000105652954,2.135104431856715,-2.183621890662124,-1.9916412786394333,0.0,28
gpt-5-mini|default,ISFJ,static,flat,3012,0,0.05625025047243876,0.09999999999999992,0.20000000000000012,0.30000000000000004,0.05689793523250163,0.10363828765339429,0.16053622288589592,3.1938583426522467,-4.8586980839529055,-2.6512085860375567,0.0,43
gpt-5-mini|default,ISFJ,static,flat,3013,0,0.06741077562607786,0.06717204459524788,0.1879245218653435,0.2550965664605914,0.06809169255159375,0.16709177116782328,0.23518346371941698,3.84459738234938,-2.099845416979984,1.7109640046543584,0.0,49
gpt-5-mini|default,ISFJ,static,flat,3014,0,0.059841787073870334,0.05906663596143601,0.01711249051038367,0.07617912647181968,0.0607530833237262,0.01637075709078852,0.07712384041451471,4.586971568348311,-3.2744091040378343,-0.4760501324351796,0.0,53
gpt-5-mini|default,ISFJ,static,flat,3015,0,0.07313015805387076,0.06649704682271285,0.11308383962426499,0.1795808864469778,0.0726245058771119,0.10795022649643225,0.1805747323735441,4.777341557498326,-3.36482141369141,4.829689895046596,0.0,59
gpt-5-mini|default,ISFJ,static,flat,3016,0,0.06560372338218379,0.05122440820614324,0.11097685797871325,0.1622012661848565,0.062029263028448245,0.10745395275249836,0.16948321578094658,6.960226714409217,-3.234368537347221,12.400281122713963,0.0,82
gpt-5-mini|default,ISFJ,static,bull_trap,3001,0,0.05658350107596069,0.0700618872816094,0.0030809314474662237,0.07314281872907565,0.05661735203082368,0.04214146481102566,0.09875881684184934,5.708074678724304,-1.5731568987955247,11.654978585509944,0.0,65
gpt-5-mini|default,ISFJ,static,bull_trap,3002,0,0.07679405525520888,0.09636960253826478,0.15509256540633637,0.2514621679446011,0.0788345748431137,0.14075373500335667,0.21958830984647038,6.613622157411979,-6.29161339826303,10.774570911408388,0.0,78
