Model,metric,source,n_pairs,df_d,sigma_d_R1,sigma_d_R1_limit90,mean_d
claude-fable-5-1|default,band_mas,e9_2 pilot (R = 1),29,27,0.08858534714287981,0.10815281778284584,-0.07762212763487343
claude-fable-5-1|default,v21_mcr_B_0.05,e9_2 pilot (R = 1),29,27,0.09880956614504813,0.120635447589894,-0.06702767986868986
claude-fable-5-1|default,v21_mcr_D_0.05,e9_2 pilot (R = 1),29,27,0.054472141569780884,0.0665044027195125,-0.00570056437841586
claude-fable-5-1|default,v21_mcr_0.05,e9_2 pilot (R = 1),29,27,0.11357265935843812,0.13865953601665895,-0.07272824424710575
claude-fable-5-1|default,v21_mcr_B_0.002,e9_2 pilot (R = 1),29,27,0.08936174502870674,0.10910071291201875,-0.0782620424768746
claude-fable-5-1|default,v21_mcr_D_0.002,e9_2 pilot (R = 1),29,27,0.03457603324015221,0.042213475967355515,-0.008873099417830706
claude-fable-5-1|default,v21_mcr_0.002,e9_2 pilot (R = 1),29,27,0.09659702520749978,0.11793418214844581,-0.0871351418947053
claude-fable-5-1|default,turnover,e9_2 pilot (R = 1),29,27,0.5038831780542663,0.6151850988634362,-1.2630828464944577
claude-haiku-4-5-20251001|default,band_mas,e9_2 pilot (R = 1),124,116,0.021461125015145653,0.023474117807890892,-0.0032314450112654273
claude-haiku-4-5-20251001|default,v21_mcr_B_0.05,e9_2 pilot (R = 1),124,116,0.022177258097400527,0.024257422146648312,-0.002283034324766862
claude-haiku-4-5-20251001|default,v21_mcr_D_0.05,e9_2 pilot (R = 1),124,116,0.008041585880987936,0.008795863879426815,-0.0003143864002555917
claude-haiku-4-5-20251001|default,v21_mcr_0.05,e9_2 pilot (R = 1),124,116,0.022875430769152293,0.025021081439224293,-0.002597420725022442
claude-haiku-4-5-20251001|default,v21_mcr_B_0.002,e9_2 pilot (R = 1),124,116,0.021381683900477292,0.023387225341480154,-0.003172037032471859
claude-haiku-4-5-20251001|default,v21_mcr_D_0.002,e9_2 pilot (R = 1),124,116,0.0058050319539491215,0.0063495275233430215,-0.0003517174599002203
claude-haiku-4-5-20251001|default,v21_mcr_0.002,e9_2 pilot (R = 1),124,116,0.021496172769409603,0.023512452942321793,-0.0035237544923720837
claude-haiku-4-5-20251001|default,turnover,e9_2 pilot (R = 1),124,116,0.5235489070179992,0.5726563128847986,-0.3358190011257222
claude-opus-5|default,band_mas,e9_2 pilot (R = 1),46,42,0.0858210491986576,0.10027369519404221,-0.09573419872200342
claude-opus-5|default,v21_mcr_B_0.05,e9_2 pilot (R = 1),46,42,0.09509023127161734,0.11110384871186456,-0.07574073865573495
claude-opus-5|default,v21_mcr_D_0.05,e9_2 pilot (R = 1),46,42,0.05222741545203454,0.0610227442650729,-0.0012319523117469337
claude-opus-5|default,v21_mcr_0.05,e9_2 pilot (R = 1),46,42,0.10478360591219932,0.12242963071042091,-0.07697269096748188
claude-opus-5|default,v21_mcr_B_0.002,e9_2 pilot (R = 1),46,42,0.08606403016203336,0.10055759523123586,-0.09574191045469056
claude-opus-5|default,v21_mcr_D_0.002,e9_2 pilot (R = 1),46,42,0.034025959175681464,0.03975608188114037,-0.005494137917469871
claude-opus-5|default,v21_mcr_0.002,e9_2 pilot (R = 1),46,42,0.08525083346232257,0.09960745259419063,-0.10123604837216042
claude-opus-5|default,turnover,e9_2 pilot (R = 1),46,42,1.0547682383048307,1.232395896061707,-2.5441838326263984
claude-sonnet-5|default,band_mas,e9_2 pilot (R = 1),64,60,0.06553297035075767,0.07447338116690502,-0.04497656342356786
claude-sonnet-5|default,v21_mcr_B_0.05,e9_2 pilot (R = 1),64,60,0.07638876386994768,0.08681018879666186,-0.03363353912969533
claude-sonnet-5|default,v21_mcr_D_0.05,e9_2 pilot (R = 1),64,60,0.048779534826328096,0.05543433894147375,-0.0031881689374752584
claude-sonnet-5|default,v21_mcr_0.05,e9_2 pilot (R = 1),64,60,0.08632595699171901,0.09810307491376835,-0.0368217080671706
claude-sonnet-5|default,v21_mcr_B_0.002,e9_2 pilot (R = 1),64,60,0.06552817064231922,0.07446792665272517,-0.04479621275600435
claude-sonnet-5|default,v21_mcr_D_0.002,e9_2 pilot (R = 1),64,60,0.03597055025997321,0.040877873930573745,-0.006876969854917075
claude-sonnet-5|default,v21_mcr_0.002,e9_2 pilot (R = 1),64,60,0.06940112544800427,0.07886925377008577,-0.05167318261092142
claude-sonnet-5|default,turnover,e9_2 pilot (R = 1),64,60,1.4041923122808009,1.5957608627291036,-3.5668651895207097
gemini-2.5-flash-lite|default,band_mas,e9_2 pilot (R = 1),192,180,0.041523723990207935,0.04458183106547017,-0.016022805174829503
gemini-2.5-flash-lite|default,v21_mcr_B_0.05,e9_2 pilot (R = 1),192,180,0.056527236664216766,0.06069031082463237,-0.01813861026903786
