M,S,L,tau_lam_label,tau_lam,beta_label,beta,int_label,interaction,margin,n_datasets,level_dependent_plain,level_dependent_plain_lo,level_dependent_plain_hi,level_dependent_significant_only,level_dependent_significant_only_lo,level_dependent_significant_only_hi,ii_holds_alpha,ii_holds_alpha_lo,ii_holds_alpha_hi,ii_holds_alpha_prime,ii_holds_alpha_prime_lo,ii_holds_alpha_prime_hi,equivalence_declared,equivalence_declared_lo,equivalence_declared_hi,equivalence_any_level,equivalence_any_level_lo,equivalence_any_level_hi,interaction_half_width_median,half_width_over_margin,interaction_est_mean
6,19,1,0,0.0,0,0.0,0,0.0,0.025,2000,0.1025,0.0899602575245831,0.11656379506401297,0.0,1.0842021724855044e-19,0.001917047281252934,0.038,0.030467599928741894,0.04730375175913581,0.001,0.0002742789176520342,0.003638934269038394,0.9975,0.9941608466835673,0.9989316912715861,0.9975,0.9941608466835673,0.9989316912715861,0.008516581483837944,0.34066325935351777,-0.0002351106863324116
6,19,1,0,0.0,0,0.0,margin,0.025,0.025,2000,0.4295,0.40796139161315337,0.4513089120535032,0.0235,0.017718224361690932,0.031108721697343113,0.0245,0.01858163028213664,0.032241481682334906,0.0005,8.826773070546787e-05,0.0028268625032662133,0.063,0.053166899529154835,0.07450859979466022,0.063,0.053166899529154835,0.07450859979466022,0.008520682854878277,0.34082731419513107,0.02505509107124691
6,19,1,0,0.0,half_delta,0.025,0,0.0,0.025,2000,0.034,0.026908260159560583,0.042878427906567144,0.0,1.0842021724855044e-19,0.001917047281252934,0.1965,0.17967444607855565,0.21448920162116486,0.004,0.0020282466069651696,0.007873464296037741,0.996,0.9921265357039621,0.9979717533930348,0.996,0.9921265357039621,0.9979717533930348,0.008491451078070504,0.3396580431228201,0.0001886827033614583
6,19,1,0,0.0,half_delta,0.025,margin,0.025,0.025,2000,0.0585,0.049036041566208714,0.06965671118313761,0.0055,0.003073897009543817,0.009822062751615332,0.255,0.2363801073548883,0.2745592458129256,0.0135,0.009294493997659236,0.019570793006999862,0.065,0.055007837621403224,0.07665999351328683,0.065,0.055007837621403224,0.07665999351328683,0.00870712150945364,0.3482848603781456,0.025026044921191783
6,19,1,0,0.0,delta,0.05,0,0.0,0.025,2000,0.001,0.0002742789176520342,0.003638934269038394,0.0,1.0842021724855044e-19,0.001917047281252934,0.674,0.6531400467735491,0.6941928207725749,0.0505,0.04173547326167801,0.06098795224416838,0.9915,0.9864293102622139,0.9946862322603145,0.9915,0.9864293102622139,0.9946862322603145,0.008570531010103835,0.3428212404041534,-0.00010065542591383014
6,19,1,0,0.0,delta,0.05,margin,0.025,0.025,2000,0.002,0.0007780273070510575,0.005131351785076866,0.001,0.0002742789176520342,0.003638934269038394,0.71,0.6897257793281782,0.7294690608136954,0.078,0.06703950613485772,0.09057848177051976,0.0675,0.057313062415804306,0.07934518348247949,0.0675,0.057313062415804306,0.07934518348247949,0.008449412592020825,0.337976503680833,0.024785055675119013
6,19,1,half_limit,0.01899110076791385,0,0.0,0,0.0,0.025,2000,0.2145,0.19706670596764359,0.23302792802995176,0.001,0.0002742789176520342,0.003638934269038394,0.013,0.008886895534737305,0.01898030851720305,0.0,1.0842021724855044e-19,0.001917047281252934,0.262,0.2431979924091159,0.28171452209676046,0.262,0.2431979924091159,0.28171452209676046,0.021970305707021437,0.8788122282808575,-4.300084198367773e-05
6,19,1,half_limit,0.01899110076791385,0,0.0,margin,0.025,0.025,2000,0.4475,0.42582937749144806,0.46937191247308346,0.037,0.029575304829629133,0.04619988095281107,0.0175,0.012609752959581211,0.024240197666827872,0.0,1.0842021724855044e-19,0.001917047281252934,0.038,0.030467599928741894,0.04730375175913581,0.038,0.030467599928741894,0.04730375175913581,0.021683553141204806,0.8673421256481922,0.025145889125269542
6,19,1,half_limit,0.01899110076791385,half_delta,0.025,0,0.0,0.025,2000,0.08,0.06889957451773436,0.09271074519851809,0.0,1.0842021724855044e-19,0.001917047281252934,0.108,0.0951409941930465,0.12236197087545578,0.0,1.0842021724855044e-19,0.001917047281252934,0.243,0.224707434303008,0.26227792799955596,0.243,0.224707434303008,0.26227792799955596,0.022480711640216963,0.8992284656086785,-0.00047559517269267693
6,19,1,half_limit,0.01899110076791385,half_delta,0.025,margin,0.025,0.025,2000,0.0725,0.06193616869555324,0.08470290672991801,0.0105,0.006877887380873443,0.015998901907473176,0.2025,0.1854658783467556,0.2206747647855899,0.0025,0.0010683087284139143,0.005839153316432755,0.0445,0.03630266512840682,0.054443764944814586,0.0445,0.03630266512840682,0.054443764944814586,0.022287594259131002,0.8915037703652401,0.0246887117890663
6,19,1,half_limit,0.01899110076791385,delta,0.05,0,0.0,0.025,2000,0.0025,0.0010683087284139143,0.005839153316432755,0.0,1.0842021724855044e-19,0.001917047281252934,0.4905,0.46863010699531177,0.5124063169030318,0.018,0.01302999144428223,0.024818042134845595,0.2425,0.22422149850377981,0.2617657808460654,0.2425,0.22422149850377981,0.2617657808460654,0.022473512990047618,0.8989405196019047,7.720247639377347e-05
6,19,1,half_limit,0.01899110076791385,delta,0.05,margin,0.025,0.025,2000,0.0015,0.0005102635836384819,0.004401032555770693,0.0005,8.826773070546787e-05,0.0028268625032662133,0.609,0.5874245015303575,0.6301575821623292,0.0355,0.028239876230264,0.04454106069401996,0.0445,0.03630266512840682,0.054443764944814586,0.0445,0.03630266512840682,0.054443764944814586,0.02242473729632575,0.8969894918530299,0.024665726845810403
6,19,2,0,0.0,0,0.0,0,0.0,0.025,2000,0.1605,0.14506587373687918,0.1772358013670915,0.0,1.0842021724855044e-19,0.001917047281252934,0.0185,0.013451349814109871,0.025394766717736703,0.0005,8.826773070546787e-05,0.0028268625032662133,0.99,0.9846040615409247,0.9935172321234472,1.0,0.9980829527187469,0.9999999999999998,0.008545110715251214,0.34180442861004856,5.8286411323252125e-06
6,19,2,0,0.0,0,0.0,margin,0.025,0.025,2000,0.445,0.42334598288820563,0.46686489231273215,0.0315,0.02469804258437448,0.0400982307181595,0.022,0.0164289081143177,0.0294037890865601,0.0,1.0842021724855044e-19,0.001917047281252934,0.0175,0.012609752959581211,0.024240197666827872,0.1165,0.10316899183684573,0.13130138342787528,0.008462727718814213,0.3385091087525685,0.025008546690167558
6,19,2,0,0.0,half_delta,0.025,0,0.0,0.025,2000,0.0515,0.042644720050338814,0.062074871360945055,0.0,1.0842021724855044e-19,0.001917047281252934,0.169,0.15321410271973138,0.18605498258045802,0.005,0.0027181808584985597,0.009179695949941846,0.99,0.9846040615409247,0.9935172321234472,1.0,0.9980829527187469,0.9999999999999998,0.008612235747045345,0.3444894298818138,-5.57031170162296e-05
6,19,2,0,0.0,half_delta,0.025,margin,0.025,0.025,2000,0.058,0.04857807145401382,0.06911659834261377,0.0075,0.004550377435809225,0.012337914136224913,0.258,0.23930127713475113,0.27762657374937527,0.011,0.007275425411318251,0.016599446829747115,0.013,0.008886895534737305,0.01898030851720305,0.1205,0.10695525696857326,0.1354997819178977,0.008524220725740054,0.3409688290296021,0.025017109905203932
6,19,2,0,0.0,delta,0.05,0,0.0,0.025,2000,0.0035,0.0016964316970424177,0.007207196253241745,0.0,1.0842021724855044e-19,0.001917047281252934,0.629,0.6076003631256541,0.6499050386757825,0.05,0.04128123361873174,0.0604441089343959,0.987,0.9810196914827969,0.9911131044652626,0.9995,0.9971731374967338,0.9999117322692944,0.00853088177354826,0.3412352709419304,3.7893455353998056e-05
6,19,2,0,0.0,delta,0.05,margin,0.025,0.025,2000,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0,1.0842021724855044e-19,0.001917047281252934,0.722,0.7019539368073737,0.7411948941997499,0.0875,0.07589362184323717,0.10068794216379648,0.01,0.006482767876552687,0.015395938459075187,0.114,0.10080523897679412,0.12867472152433315,0.008495378143236462,0.3398151257294585,0.02493579299887663
6,19,2,half_limit,0.01899110076791385,0,0.0,0,0.0,0.025,2000,0.3425,0.3220221796329167,0.363581690260678,0.0045,0.0023692806369618345,0.008530513218759823,0.01,0.006482767876552687,0.015395938459075187,0.0,1.0842021724855044e-19,0.001917047281252934,0.0855,0.07402575867765614,0.09856347351850255,0.4265,0.4049862197568357,0.4482955861935084,0.022459285805230204,0.8983714322092081,0.00019207866750764192
