[criteria] 1/432 (22 s; ETA 9646 s)
[criteria] 2/432 (22 s; ETA 4813 s)
[criteria] 3/432 (22 s; ETA 3202 s)
[criteria] 4/432 (22 s; ETA 2402 s)
[criteria] 5/432 (23 s; ETA 1940 s)
[criteria] 6/432 (23 s; ETA 1620 s)
[criteria] 7/432 (23 s; ETA 1387 s)
[criteria] 8/432 (23 s; ETA 1212 s)
[criteria] 9/432 (23 s; ETA 1086 s)
[criteria] 10/432 (23 s; ETA 978 s)
[criteria] 11/432 (23 s; ETA 888 s)
[criteria] 12/432 (23 s; ETA 813 s)
[criteria] 13/432 (24 s; ETA 761 s)
[criteria] 14/432 (24 s; ETA 707 s)
[criteria] 15/432 (24 s; ETA 660 s)
[criteria] 16/432 (24 s; ETA 618 s)
[criteria] 17/432 (24 s; ETA 589 s)
[criteria] 18/432 (24 s; ETA 556 s)
[criteria] 19/432 (24 s; ETA 527 s)
[criteria] 20/432 (24 s; ETA 501 s)
[criteria] 21/432 (25 s; ETA 484 s)
[criteria] 22/432 (25 s; ETA 463 s)
[criteria] 23/432 (25 s; ETA 443 s)
[criteria] 24/432 (25 s; ETA 425 s)
[criteria] 25/432 (26 s; ETA 430 s)
[criteria] 26/432 (26 s; ETA 413 s)
[criteria] 27/432 (27 s; ETA 398 s)
[criteria] 28/432 (28 s; ETA 401 s)
[criteria] 29/432 (28 s; ETA 388 s)
[criteria] 30/432 (28 s; ETA 375 s)
[criteria] 31/432 (29 s; ETA 372 s)
[criteria] 32/432 (29 s; ETA 363 s)
[criteria] 33/432 (29 s; ETA 352 s)
[criteria] 34/432 (29 s; ETA 341 s)
[criteria] 35/432 (30 s; ETA 339 s)
[criteria] 36/432 (30 s; ETA 332 s)
[criteria] 37/432 (31 s; ETA 330 s)
[criteria] 38/432 (31 s; ETA 324 s)
[criteria] 39/432 (32 s; ETA 321 s)
[criteria] 40/432 (32 s; ETA 315 s)
[criteria] 41/432 (33 s; ETA 314 s)
[criteria] 42/432 (33 s; ETA 308 s)
[criteria] 43/432 (34 s; ETA 306 s)
[criteria] 44/432 (34 s; ETA 302 s)
[criteria] 45/432 (35 s; ETA 301 s)
[criteria] 46/432 (35 s; ETA 294 s)
[criteria] 47/432 (36 s; ETA 293 s)
[criteria] 48/432 (36 s; ETA 286 s)
[criteria] 49/432 (36 s; ETA 280 s)
[criteria] 50/432 (36 s; ETA 277 s)
[criteria] 51/432 (37 s; ETA 273 s)
[criteria] 52/432 (37 s; ETA 268 s)
[criteria] 53/432 (37 s; ETA 262 s)
[criteria] 54/432 (37 s; ETA 261 s)
[criteria] 55/432 (37 s; ETA 257 s)
[criteria] 56/432 (37 s; ETA 251 s)
[criteria] 57/432 (38 s; ETA 248 s)
[criteria] 58/432 (39 s; ETA 249 s)
[criteria] 59/432 (39 s; ETA 244 s)
[criteria] 60/432 (39 s; ETA 241 s)
[criteria] 61/432 (39 s; ETA 238 s)
[criteria] 62/432 (40 s; ETA 237 s)
[criteria] 63/432 (40 s; ETA 234 s)
[criteria] 64/432 (40 s; ETA 230 s)
[criteria] 65/432 (41 s; ETA 229 s)
[criteria] 66/432 (41 s; ETA 226 s)
[criteria] 67/432 (41 s; ETA 224 s)
[criteria] 68/432 (42 s; ETA 223 s)
[criteria] 69/432 (42 s; ETA 220 s)
[criteria] 70/432 (42 s; ETA 217 s)
[criteria] 71/432 (42 s; ETA 214 s)
[criteria] 72/432 (43 s; ETA 214 s)
[criteria] 73/432 (44 s; ETA 218 s)
[criteria] 74/432 (44 s; ETA 214 s)
[criteria] 75/432 (45 s; ETA 214 s)
[criteria] 76/432 (46 s; ETA 214 s)
[criteria] 77/432 (48 s; ETA 222 s)
[criteria] 78/432 (49 s; ETA 222 s)
[criteria] 79/432 (51 s; ETA 226 s)
[criteria] 80/432 (51 s; ETA 223 s)
[criteria] 81/432 (53 s; ETA 229 s)
[criteria] 82/432 (55 s; ETA 233 s)
[criteria] 83/432 (55 s; ETA 233 s)
[criteria] 84/432 (57 s; ETA 234 s)
[criteria] 85/432 (62 s; ETA 253 s)
[criteria] 86/432 (64 s; ETA 257 s)
[criteria] 87/432 (65 s; ETA 256 s)
[criteria] 88/432 (66 s; ETA 258 s)
[criteria] 89/432 (72 s; ETA 277 s)
[criteria] 90/432 (75 s; ETA 284 s)
[criteria] 91/432 (75 s; ETA 281 s)
[criteria] 92/432 (76 s; ETA 280 s)
[criteria] 93/432 (81 s; ETA 294 s)
[criteria] 94/432 (83 s; ETA 297 s)
[criteria] 95/432 (84 s; ETA 296 s)
[criteria] 96/432 (84 s; ETA 293 s)
[criteria] 97/432 (85 s; ETA 292 s)
[criteria] 98/432 (86 s; ETA 292 s)
[criteria] 99/432 (86 s; ETA 291 s)
[criteria] 100/432 (87 s; ETA 289 s)
[criteria] 101/432 (88 s; ETA 287 s)
[criteria] 102/432 (89 s; ETA 288 s)
[criteria] 103/432 (92 s; ETA 295 s)
[criteria] 104/432 (92 s; ETA 291 s)
[criteria] 105/432 (93 s; ETA 290 s)
[criteria] 106/432 (93 s; ETA 286 s)
[criteria] 107/432 (97 s; ETA 294 s)
[criteria] 108/432 (99 s; ETA 297 s)
[criteria] 109/432 (102 s; ETA 303 s)
[criteria] 110/432 (103 s; ETA 301 s)
[criteria] 111/432 (105 s; ETA 303 s)
[criteria] 112/432 (105 s; ETA 300 s)
[criteria] 113/432 (107 s; ETA 302 s)
[criteria] 114/432 (107 s; ETA 299 s)
[criteria] 115/432 (110 s; ETA 302 s)
[criteria] 116/432 (110 s; ETA 300 s)
[criteria] 117/432 (111 s; ETA 299 s)
[criteria] 118/432 (111 s; ETA 296 s)
[criteria] 119/432 (114 s; ETA 301 s)
[criteria] 120/432 (116 s; ETA 300 s)
[criteria] 121/432 (119 s; ETA 306 s)
[criteria] 122/432 (119 s; ETA 303 s)
[criteria] 123/432 (121 s; ETA 305 s)
[criteria] 124/432 (122 s; ETA 303 s)
[criteria] 125/432 (124 s; ETA 306 s)
[criteria] 126/432 (125 s; ETA 304 s)
[criteria] 127/432 (127 s; ETA 304 s)
[criteria] 128/432 (127 s; ETA 303 s)
[criteria] 129/432 (130 s; ETA 306 s)
[criteria] 130/432 (131 s; ETA 304 s)
[criteria] 131/432 (132 s; ETA 304 s)
[criteria] 132/432 (134 s; ETA 305 s)
[criteria] 133/432 (141 s; ETA 318 s)
[criteria] 134/432 (142 s; ETA 316 s)
[criteria] 135/432 (143 s; ETA 315 s)
[criteria] 136/432 (145 s; ETA 316 s)
[criteria] 137/432 (151 s; ETA 325 s)
[criteria] 138/432 (151 s; ETA 323 s)
[criteria] 139/432 (153 s; ETA 322 s)
[criteria] 140/432 (155 s; ETA 324 s)
[criteria] 141/432 (161 s; ETA 332 s)
[criteria] 142/432 (161 s; ETA 329 s)
[criteria] 143/432 (162 s; ETA 327 s)
[criteria] 144/432 (162 s; ETA 323 s)
[criteria] 145/432 (162 s; ETA 321 s)
[criteria] 146/432 (162 s; ETA 318 s)
[criteria] 147/432 (162 s; ETA 314 s)
[criteria] 148/432 (163 s; ETA 312 s)
[criteria] 149/432 (163 s; ETA 309 s)
[criteria] 150/432 (163 s; ETA 306 s)
[criteria] 151/432 (163 s; ETA 304 s)
[criteria] 152/432 (163 s; ETA 301 s)
[criteria] 153/432 (163 s; ETA 298 s)
[criteria] 154/432 (164 s; ETA 296 s)
[criteria] 155/432 (164 s; ETA 293 s)
[criteria] 156/432 (164 s; ETA 291 s)
[criteria] 157/432 (165 s; ETA 288 s)
[criteria] 158/432 (165 s; ETA 286 s)
[criteria] 159/432 (165 s; ETA 283 s)
[criteria] 160/432 (165 s; ETA 281 s)
[criteria] 161/432 (166 s; ETA 279 s)
[criteria] 162/432 (166 s; ETA 276 s)
[criteria] 163/432 (166 s; ETA 274 s)
[criteria] 164/432 (166 s; ETA 271 s)
[criteria] 165/432 (166 s; ETA 269 s)
[criteria] 166/432 (166 s; ETA 266 s)
[criteria] 167/432 (167 s; ETA 264 s)
[criteria] 168/432 (167 s; ETA 262 s)
[criteria] 169/432 (168 s; ETA 261 s)
[criteria] 170/432 (168 s; ETA 259 s)
[criteria] 171/432 (168 s; ETA 257 s)
[criteria] 172/432 (168 s; ETA 255 s)
[criteria] 173/432 (170 s; ETA 254 s)
[criteria] 174/432 (170 s; ETA 252 s)
[criteria] 175/432 (170 s; ETA 250 s)
[criteria] 176/432 (171 s; ETA 248 s)
[criteria] 177/432 (172 s; ETA 248 s)
[criteria] 178/432 (172 s; ETA 245 s)
[criteria] 179/432 (172 s; ETA 243 s)
[criteria] 180/432 (172 s; ETA 241 s)
[criteria] 181/432 (175 s; ETA 242 s)
[criteria] 182/432 (175 s; ETA 240 s)
[criteria] 183/432 (175 s; ETA 238 s)
[criteria] 184/432 (175 s; ETA 236 s)
[criteria] 185/432 (178 s; ETA 237 s)
[criteria] 186/432 (178 s; ETA 235 s)
[criteria] 187/432 (178 s; ETA 233 s)
[criteria] 188/432 (178 s; ETA 231 s)
[criteria] 189/432 (181 s; ETA 232 s)
[criteria] 190/432 (181 s; ETA 231 s)
[criteria] 191/432 (181 s; ETA 229 s)
[criteria] 192/432 (181 s; ETA 227 s)
[criteria] 193/432 (181 s; ETA 225 s)
[criteria] 194/432 (182 s; ETA 223 s)
[criteria] 195/432 (182 s; ETA 222 s)
[criteria] 196/432 (182 s; ETA 220 s)
