M,S,tau_label,tau,shared,hetero,beta,n_datasets,B,R3_reject,R3_reject_lo,R3_reject_hi,R3_reject_prime,R3_reject_prime_lo,R3_reject_prime_hi,R3_coverage,R3_min_attainable_p
3,19,0,0.0,True,False,0.0,1000,1999,0.052,0.03987303628377742,0.06755573931927998,0.004,0.0015565881404084308,0.010239556277262253,0.948,0.0005
3,19,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,0.998,0.9927371921365079,0.9994513564118793,0.938,0.0005
3,19,0,0.0,False,False,0.0,1000,1999,0.005,0.0021375355273244596,0.011650955373375113,0.0,2.168404344971009e-19,0.0038267584855551234,0.995,0.0005
3,19,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.993,0.0005
3,19,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.195,0.17163009389189862,0.22070422878429005,0.093,0.07652372564174531,0.11259125576549656,0.805,0.0005
3,19,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.663,0.6331289213315938,0.6916235554021153,0.492,0.4611041586281342,0.5229570695076347,0.795,0.0005
3,19,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.225,0.20019895514206568,0.25190576202498965,0.089,0.07288824391300744,0.10825735156211885,0.775,0.0005
3,19,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.68,0.6504463759266418,0.7081759910185584,0.491,0.46010903314721446,0.5219598485055256,0.769,0.0005
3,93,0,0.0,True,False,0.0,1000,1999,0.042,0.031220885546165447,0.056284425226603055,0.001,0.00017654637062607809,0.0056425585979579355,0.958,0.0005
3,93,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.959,0.0005
3,93,0,0.0,False,False,0.0,1000,1999,0.003,0.0010207838811386186,0.008783014053503173,0.0,2.168404344971009e-19,0.0038267584855551234,0.997,0.0005
3,93,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.99,0.0005
3,93,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.249,0.22319257656829508,0.2767284561914536,0.158,0.13670765691270592,0.1819098458914138,0.751,0.0005
