candidates,n_datasets,conditions_per_M,alpha,nominal,true_rate_over_nominal,break_count_threshold,p_break_one_condition,expected_breaks_per_M,p_at_least_one_break_per_M
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha,0.05,1.0,543.0,0.026708196518765125,1.2819934329007259,0.727311283188353
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha,0.05,1.1,543.0,0.6267127476521637,30.082211887303856,1.0
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha,0.05,1.25,543.0,0.9997457666571694,47.98779679954413,1.0
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha_prime,0.001388888888888889,1.0,22.0,0.02669502167275726,1.2813610402923485,0.727134048369679
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha_prime,0.001388888888888889,1.1,22.0,0.06172438584597298,2.962770520606703,0.9530256695886763
"analytic candidates (R1, R2, R4, R5)",10000,48,alpha_prime,0.001388888888888889,1.25,22.0,0.15940907890394693,7.651635787389452,0.9997600806024907
"analytic candidates (R1, R2, R4, R5)",10000,48,both,,1.0,,,,0.9255925337883388
R3 (bootstrap subset),1000,8,alpha,0.05,1.0,64.0,0.028428397283994992,0.22742717827195993,0.2060402224166894
R3 (bootstrap subset),1000,8,alpha,0.05,1.1,64.0,0.12055884236654967,0.9644707389323973,0.6421885012502568
R3 (bootstrap subset),1000,8,alpha,0.05,1.25,64.0,0.4406397668440444,3.525118134752355,0.9904163112393856
R3 (bootstrap subset),1000,8,alpha_prime,0.001388888888888889,1.0,4.0,0.052355455806356935,0.4188436464508555,0.3496251586940069
R3 (bootstrap subset),1000,8,alpha_prime,0.001388888888888889,1.1,4.0,0.06903192422041446,0.5522553937633157,0.4357412411014945
R3 (bootstrap subset),1000,8,alpha_prime,0.001388888888888889,1.25,4.0,0.09849640754859201,0.7879712603887361,0.5637457271457618
R3 (bootstrap subset),1000,8,both,,1.0,,,,0.4836285356509128
