[refdist_fresh] 1/864 (15 s; ETA 12909 s)
[refdist_fresh] 2/864 (15 s; ETA 6592 s)
[refdist_fresh] 3/864 (16 s; ETA 4458 s)
[refdist_fresh] 4/864 (16 s; ETA 3406 s)
[refdist_fresh] 5/864 (16 s; ETA 2739 s)
[refdist_fresh] 6/864 (16 s; ETA 2291 s)
[refdist_fresh] 7/864 (16 s; ETA 2001 s)
[refdist_fresh] 8/864 (16 s; ETA 1751 s)
[refdist_fresh] 9/864 (16 s; ETA 1565 s)
[refdist_fresh] 10/864 (17 s; ETA 1425 s)
[refdist_fresh] 11/864 (17 s; ETA 1295 s)
[refdist_fresh] 12/864 (17 s; ETA 1194 s)
[refdist_fresh] 13/864 (17 s; ETA 1104 s)
[refdist_fresh] 14/864 (17 s; ETA 1033 s)
[refdist_fresh] 15/864 (17 s; ETA 966 s)
[refdist_fresh] 16/864 (17 s; ETA 910 s)
[refdist_fresh] 17/864 (17 s; ETA 858 s)
[refdist_fresh] 18/864 (17 s; ETA 815 s)
[refdist_fresh] 19/864 (17 s; ETA 774 s)
[refdist_fresh] 20/864 (17 s; ETA 738 s)
[refdist_fresh] 21/864 (18 s; ETA 705 s)
[refdist_fresh] 22/864 (18 s; ETA 677 s)
[refdist_fresh] 23/864 (18 s; ETA 649 s)
[refdist_fresh] 24/864 (18 s; ETA 624 s)
[refdist_fresh] 25/864 (18 s; ETA 599 s)
[refdist_fresh] 26/864 (18 s; ETA 581 s)
[refdist_fresh] 27/864 (18 s; ETA 559 s)
[refdist_fresh] 28/864 (18 s; ETA 541 s)
[refdist_fresh] 29/864 (18 s; ETA 524 s)
[refdist_fresh] 30/864 (18 s; ETA 511 s)
[refdist_fresh] 31/864 (18 s; ETA 494 s)
[refdist_fresh] 32/864 (19 s; ETA 482 s)
[refdist_fresh] 33/864 (19 s; ETA 475 s)
[refdist_fresh] 34/864 (19 s; ETA 462 s)
[refdist_fresh] 35/864 (19 s; ETA 449 s)
[refdist_fresh] 36/864 (19 s; ETA 439 s)
[refdist_fresh] 37/864 (19 s; ETA 435 s)
[refdist_fresh] 38/864 (20 s; ETA 426 s)
[refdist_fresh] 39/864 (20 s; ETA 415 s)
[refdist_fresh] 40/864 (20 s; ETA 407 s)
[refdist_fresh] 41/864 (20 s; ETA 401 s)
[refdist_fresh] 42/864 (20 s; ETA 395 s)
[refdist_fresh] 43/864 (20 s; ETA 385 s)
[refdist_fresh] 44/864 (20 s; ETA 380 s)
[refdist_fresh] 45/864 (21 s; ETA 377 s)
[refdist_fresh] 46/864 (21 s; ETA 371 s)
[refdist_fresh] 47/864 (21 s; ETA 363 s)
[refdist_fresh] 48/864 (21 s; ETA 358 s)
[refdist_fresh] 49/864 (21 s; ETA 355 s)
[refdist_fresh] 50/864 (22 s; ETA 352 s)
[refdist_fresh] 51/864 (22 s; ETA 345 s)
[refdist_fresh] 52/864 (22 s; ETA 341 s)
[refdist_fresh] 53/864 (22 s; ETA 336 s)
[refdist_fresh] 54/864 (22 s; ETA 333 s)
[refdist_fresh] 55/864 (22 s; ETA 329 s)
[refdist_fresh] 56/864 (22 s; ETA 324 s)
[refdist_fresh] 57/864 (23 s; ETA 320 s)
[refdist_fresh] 58/864 (23 s; ETA 317 s)
[refdist_fresh] 59/864 (23 s; ETA 313 s)
[refdist_fresh] 60/864 (23 s; ETA 308 s)
[refdist_fresh] 61/864 (23 s; ETA 307 s)
[refdist_fresh] 62/864 (23 s; ETA 302 s)
[refdist_fresh] 63/864 (24 s; ETA 303 s)
[refdist_fresh] 64/864 (24 s; ETA 299 s)
[refdist_fresh] 65/864 (25 s; ETA 304 s)
[refdist_fresh] 66/864 (25 s; ETA 299 s)
[refdist_fresh] 67/864 (25 s; ETA 299 s)
[refdist_fresh] 68/864 (25 s; ETA 294 s)
[refdist_fresh] 69/864 (26 s; ETA 300 s)
[refdist_fresh] 70/864 (26 s; ETA 296 s)
[refdist_fresh] 71/864 (26 s; ETA 295 s)
[refdist_fresh] 72/864 (26 s; ETA 291 s)
[refdist_fresh] 73/864 (27 s; ETA 296 s)
[refdist_fresh] 74/864 (27 s; ETA 293 s)
[refdist_fresh] 75/864 (28 s; ETA 292 s)
[refdist_fresh] 76/864 (28 s; ETA 289 s)
[refdist_fresh] 77/864 (29 s; ETA 293 s)
[refdist_fresh] 78/864 (29 s; ETA 290 s)
[refdist_fresh] 79/864 (29 s; ETA 288 s)
[refdist_fresh] 80/864 (29 s; ETA 285 s)
[refdist_fresh] 81/864 (30 s; ETA 288 s)
[refdist_fresh] 82/864 (30 s; ETA 286 s)
[refdist_fresh] 83/864 (30 s; ETA 283 s)
[refdist_fresh] 84/864 (30 s; ETA 280 s)
[refdist_fresh] 85/864 (31 s; ETA 286 s)
[refdist_fresh] 86/864 (31 s; ETA 284 s)
[refdist_fresh] 87/864 (32 s; ETA 282 s)
[refdist_fresh] 88/864 (32 s; ETA 280 s)
[refdist_fresh] 89/864 (33 s; ETA 284 s)
[refdist_fresh] 90/864 (33 s; ETA 282 s)
[refdist_fresh] 91/864 (33 s; ETA 280 s)
[refdist_fresh] 92/864 (33 s; ETA 277 s)
[refdist_fresh] 93/864 (34 s; ETA 284 s)
[refdist_fresh] 94/864 (34 s; ETA 283 s)
[refdist_fresh] 95/864 (34 s; ETA 279 s)
