Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,Status
11643.42,16.43,-39.33,797,50.1,15.0,0.2508,23.8,0.2,google/gemma-3-27b-it,ENTJ,static,flat,42,0.92,PASS
10712.4,7.12,-41.46,348,74.1,15.0,0.2619,11.6,0.2,google/gemma-3-27b-it,ENTJ,memory,flat,42,0.92,PASS
11890.41,18.9,-37.48,66,96.6,15.0,0.7726,22.7,1.0,google/gemma-3-27b-it,ISFJ,static,flat,42,0.92,PASS
9673.44,-3.27,-33.96,31,76.8,15.0,0.4535,54.6,1.0,google/gemma-3-27b-it,ISFJ,memory,flat,42,0.92,PASS
13240.71,32.41,-32.5,286,79.0,15.0,0.3939,25.2,0.5,google/gemma-3-27b-it,INTJ,static,flat,42,0.92,PASS
14123.12,41.23,-32.27,205,84.4,15.0,0.4426,13.0,0.5,google/gemma-3-27b-it,INTJ,memory,flat,42,0.92,PASS
10763.13,7.63,-39.66,798,52.5,15.0,0.2592,26.3,0.2,google/gemma-3-27b-it,ENTJ,static,flat,123,0.92,PASS
8362.93,-16.37,-50.12,456,68.6,15.0,0.2401,8.9,0.2,google/gemma-3-27b-it,ENTJ,memory,flat,123,0.92,PASS
9192.48,-8.08,-47.26,73,95.8,15.0,0.8874,11.3,1.0,google/gemma-3-27b-it,ISFJ,static,flat,123,0.92,PASS
8690.55,-13.09,-25.26,25,61.3,15.0,0.104,89.6,1.0,google/gemma-3-27b-it,ISFJ,memory,flat,123,0.92,PASS
12031.14,20.31,-38.33,308,76.4,15.0,0.3778,29.8,0.5,google/gemma-3-27b-it,INTJ,static,flat,123,0.92,PASS
10044.93,0.45,-44.02,215,82.9,15.0,0.3939,17.5,0.5,google/gemma-3-27b-it,INTJ,memory,flat,123,0.92,PASS
14771.36,47.71,-29.35,796,50.6,15.0,0.2279,23.9,0.2,google/gemma-3-27b-it,ENTJ,static,flat,456,0.92,PASS
12033.5,20.33,-37.57,436,70.2,15.0,0.232,7.9,0.2,google/gemma-3-27b-it,ENTJ,memory,flat,456,0.92,PASS
