Model,Agent_Type,Scenario,Seed,MBTI,Day,p_intended,predicted_persona,correct,p_ENTJ,p_ISFJ,p_INTJ
claude-sonnet-4-6,static,flat,789,ENTJ,1,0.0046,INTJ,0,0.0046,0.0012,0.9942
claude-sonnet-4-6,static,flat,789,ENTJ,2,0.0066,INTJ,0,0.0066,0.0014,0.992
claude-sonnet-4-6,static,flat,789,ENTJ,3,0.0037,INTJ,0,0.0037,0.0013,0.995
claude-sonnet-4-6,static,flat,789,ENTJ,4,0.9864,ENTJ,1,0.9864,0.0011,0.0125
claude-sonnet-4-6,static,flat,789,ENTJ,5,0.0044,INTJ,0,0.0044,0.0015,0.9941
claude-sonnet-4-6,static,flat,789,ENTJ,6,0.0042,INTJ,0,0.0042,0.0012,0.9946
claude-sonnet-4-6,static,flat,789,ENTJ,7,0.0192,INTJ,0,0.0192,0.0022,0.9786
claude-sonnet-4-6,static,flat,789,ENTJ,8,0.0043,INTJ,0,0.0043,0.0019,0.9939
claude-sonnet-4-6,static,flat,789,ENTJ,9,0.012,INTJ,0,0.012,0.0018,0.9862
claude-sonnet-4-6,static,flat,789,ENTJ,10,0.9634,ENTJ,1,0.9634,0.0018,0.0348
claude-sonnet-4-6,static,flat,789,ENTJ,11,0.0114,INTJ,0,0.0114,0.002,0.9867
claude-sonnet-4-6,static,flat,789,ENTJ,12,0.096,INTJ,0,0.096,0.003,0.901
claude-sonnet-4-6,static,flat,789,ENTJ,13,0.0328,INTJ,0,0.0328,0.0019,0.9653
claude-sonnet-4-6,static,flat,789,ENTJ,14,0.9903,ENTJ,1,0.9903,0.0011,0.0086
claude-sonnet-4-6,static,flat,789,ENTJ,15,0.9852,ENTJ,1,0.9852,0.0014,0.0134
claude-sonnet-4-6,static,flat,789,ENTJ,16,0.0288,INTJ,0,0.0288,0.0104,0.9608
claude-sonnet-4-6,static,flat,789,ENTJ,17,0.1489,INTJ,0,0.1489,0.0038,0.8473
claude-sonnet-4-6,static,flat,789,ENTJ,18,0.0904,INTJ,0,0.0904,0.0025,0.9071
claude-sonnet-4-6,static,flat,789,ENTJ,19,0.0576,INTJ,0,0.0576,0.0029,0.9395
claude-sonnet-4-6,static,flat,789,ENTJ,20,0.9914,ENTJ,1,0.9914,0.0012,0.0075
claude-sonnet-4-6,static,flat,789,ENTJ,21,0.9257,ENTJ,1,0.9257,0.002,0.0723
claude-sonnet-4-6,static,flat,789,ENTJ,22,0.5923,ENTJ,1,0.5923,0.0039,0.4038
claude-sonnet-4-6,static,flat,789,ENTJ,23,0.0382,INTJ,0,0.0382,0.002,0.9598
claude-sonnet-4-6,static,flat,789,ENTJ,24,0.9887,ENTJ,1,0.9887,0.0013,0.01
claude-sonnet-4-6,static,flat,789,ENTJ,25,0.0126,INTJ,0,0.0126,0.0016,0.9858
claude-sonnet-4-6,static,flat,789,ENTJ,26,0.0092,INTJ,0,0.0092,0.0012,0.9897
claude-sonnet-4-6,static,flat,789,ENTJ,27,0.0877,INTJ,0,0.0877,0.0021,0.9102
claude-sonnet-4-6,static,flat,789,ENTJ,28,0.7168,ENTJ,1,0.7168,0.0028,0.2804
claude-sonnet-4-6,static,flat,789,ENTJ,29,0.6717,ENTJ,1,0.6717,0.0034,0.3249
claude-sonnet-4-6,static,flat,789,ENTJ,30,0.0179,INTJ,0,0.0179,0.0017,0.9804
claude-sonnet-4-6,static,flat,789,ENTJ,31,0.022,INTJ,0,0.022,0.0016,0.9764
claude-sonnet-4-6,static,flat,789,ENTJ,32,0.9927,ENTJ,1,0.9927,0.0011,0.0062
claude-sonnet-4-6,static,flat,789,ENTJ,33,0.9606,ENTJ,1,0.9606,0.0019,0.0374
claude-sonnet-4-6,static,flat,789,ENTJ,34,0.0706,INTJ,0,0.0706,0.0027,0.9268
claude-sonnet-4-6,static,flat,789,ENTJ,35,0.9817,ENTJ,1,0.9817,0.0015,0.0167
claude-sonnet-4-6,static,flat,789,ENTJ,36,0.6562,ENTJ,1,0.6562,0.0154,0.3284
claude-sonnet-4-6,static,flat,789,ENTJ,37,0.0144,INTJ,0,0.0144,0.0041,0.9816
claude-sonnet-4-6,static,flat,789,ENTJ,38,0.997,ENTJ,1,0.997,0.0008,0.0022
claude-sonnet-4-6,static,flat,789,ENTJ,39,0.282,INTJ,0,0.282,0.013,0.705
claude-sonnet-4-6,static,flat,789,ENTJ,40,0.0269,INTJ,0,0.0269,0.006,0.967
claude-sonnet-4-6,static,flat,789,ENTJ,41,0.0766,INTJ,0,0.0766,0.0035,0.92
claude-sonnet-4-6,static,flat,789,ENTJ,42,0.9943,ENTJ,1,0.9943,0.0009,0.0049
claude-sonnet-4-6,static,flat,789,ENTJ,43,0.9751,ENTJ,1,0.9751,0.0016,0.0233
claude-sonnet-4-6,static,flat,789,ENTJ,44,0.9804,ENTJ,1,0.9804,0.0018,0.0178
claude-sonnet-4-6,static,flat,789,ENTJ,45,0.9788,ENTJ,1,0.9788,0.0024,0.0188
claude-sonnet-4-6,static,flat,789,ENTJ,46,0.9955,ENTJ,1,0.9955,0.0009,0.0036
claude-sonnet-4-6,static,flat,789,ENTJ,47,0.9494,ENTJ,1,0.9494,0.0028,0.0478
claude-sonnet-4-6,static,flat,789,ENTJ,48,0.0165,INTJ,0,0.0165,0.0022,0.9813
claude-sonnet-4-6,static,flat,789,ENTJ,49,0.964,ENTJ,1,0.964,0.0017,0.0343
claude-sonnet-4-6,static,flat,789,ENTJ,50,0.995,ENTJ,1,0.995,0.0011,0.0039
claude-sonnet-4-6,static,flat,789,ENTJ,51,0.9617,ENTJ,1,0.9617,0.0018,0.0366
claude-sonnet-4-6,static,flat,789,ENTJ,52,0.997,ENTJ,1,0.997,0.0008,0.0022
claude-sonnet-4-6,static,flat,789,ENTJ,53,0.9049,ENTJ,1,0.9049,0.0024,0.0928
claude-sonnet-4-6,static,flat,789,ENTJ,54,0.9947,ENTJ,1,0.9947,0.0008,0.0045
claude-sonnet-4-6,static,flat,789,ENTJ,55,0.9969,ENTJ,1,0.9969,0.0008,0.0023
claude-sonnet-4-6,static,flat,789,ENTJ,56,0.4133,INTJ,0,0.4133,0.0047,0.5821
claude-sonnet-4-6,static,flat,789,ENTJ,57,0.994,ENTJ,1,0.994,0.001,0.005
claude-sonnet-4-6,static,flat,789,ENTJ,58,0.9965,ENTJ,1,0.9965,0.0009,0.0026
claude-sonnet-4-6,static,flat,789,ENTJ,59,0.9903,ENTJ,1,0.9903,0.001,0.0087
claude-sonnet-4-6,static,flat,789,ENTJ,60,0.0189,INTJ,0,0.0189,0.0019,0.9792
claude-sonnet-4-6,static,flat,789,ENTJ,61,0.1988,INTJ,0,0.1988,0.0028,0.7983
claude-sonnet-4-6,static,flat,789,ENTJ,62,0.0043,INTJ,0,0.0043,0.0013,0.9943
claude-sonnet-4-6,static,flat,789,ENTJ,63,0.8657,ENTJ,1,0.8657,0.0035,0.1308
claude-sonnet-4-6,static,flat,789,ENTJ,64,0.9771,ENTJ,1,0.9771,0.002,0.0209
