Persona,Seed,Arm,Cideal,MAS_Deviation,Avg_Cash_Pct,Max_Drawdown_Pct,Final_Value,Return_Pct,Trade_Count
ENTJ,42,static,0.2,0.184541,2.85,-26.4493,9175.98,-8.2402,12
ENTJ,42,memory,0.2,0.318851,37.98,-22.8753,8965.18,-10.3482,96
ENTJ,42,placebo,0.2,0.182925,2.81,-26.5404,9142.54,-8.5746,8
ENTJ,123,static,0.2,0.200609,17.25,-35.2301,6615.89,-33.8411,57
ENTJ,123,memory,0.2,0.293174,35.06,-18.2455,8818.99,-11.8101,107
ENTJ,123,placebo,0.2,0.235705,23.19,-13.7506,11431.21,14.3121,56
ENTJ,456,static,0.2,0.150496,18.25,-30.5738,10901.02,9.0102,45
ENTJ,456,memory,0.2,0.265119,26.75,-18.736,11817.18,18.1718,86
ENTJ,456,placebo,0.2,0.16249,12.91,-30.6149,11163.17,11.6317,33
ENTJ,789,static,0.2,0.160787,15.3,-15.973,10429.28,4.2928,30
ENTJ,789,memory,0.2,0.300033,37.98,-24.0546,8567.01,-14.3299,84
ENTJ,789,placebo,0.2,0.166895,10.45,-18.41,10349.23,3.4923,27
ENTJ,999,static,0.2,0.221305,32.81,-15.6356,13550.15,35.5015,67
ENTJ,999,memory,0.2,0.322538,40.19,-10.7033,13402.78,34.0278,90
ENTJ,999,placebo,0.2,0.209253,25.01,-17.4058,13654.81,36.5481,59
ISFJ,42,static,1.0,0.972358,2.76,-26.0733,9015.18,-9.8482,11
ISFJ,42,memory,1.0,0.952187,4.78,-23.0971,9221.24,-7.7876,12
ISFJ,42,placebo,1.0,0.97753,2.25,-27.0244,9092.5,-9.075,10
ISFJ,123,static,1.0,0.980198,1.98,-26.86,9237.95,-7.6205,11
ISFJ,123,memory,1.0,0.902405,9.76,-15.4047,11339.6,13.396,14
ISFJ,123,placebo,1.0,0.960159,3.98,-17.6554,10986.78,9.8678,11
ISFJ,456,static,1.0,0.919494,8.05,-30.6341,10675.84,6.7584,13
ISFJ,456,memory,1.0,0.757213,24.28,-30.326,10049.17,0.4917,12
ISFJ,456,placebo,1.0,0.935066,6.49,-30.619,10833.72,8.3372,12
ISFJ,789,static,1.0,0.913259,8.67,-18.4105,10304.87,3.0487,11
ISFJ,789,memory,1.0,0.854899,14.51,-18.2348,10174.91,1.7491,12
ISFJ,789,placebo,1.0,0.938238,6.18,-18.5956,10310.36,3.1036,10
ISFJ,999,static,1.0,0.92375,7.63,-18.1405,15076.37,50.7637,10
ISFJ,999,memory,1.0,0.676651,32.33,-16.4895,13409.14,34.0914,28
ISFJ,999,placebo,1.0,0.936889,6.31,-18.1099,15220.39,52.2039,9
INTJ,42,static,0.5,0.436886,7.18,-37.241,8638.34,-13.6166,13
INTJ,42,memory,0.5,0.471652,3.27,-24.0169,9160.99,-8.3901,8
INTJ,42,placebo,0.5,0.480501,2.22,-26.9269,9111.53,-8.8847,8
INTJ,123,static,0.5,0.469828,3.29,-18.7746,11002.3,10.023,8
INTJ,123,memory,0.5,0.44216,6.18,-18.5612,11382.27,13.8227,17
INTJ,123,placebo,0.5,0.460451,4.23,-18.7207,11159.12,11.5912,15
INTJ,456,static,0.5,0.437633,6.51,-30.6469,10922.72,9.2272,9
INTJ,456,memory,0.5,0.429944,7.51,-30.6399,11117.08,11.1708,15
INTJ,456,placebo,0.5,0.450109,5.24,-30.5788,11082.93,10.8293,8
INTJ,789,static,0.5,0.442192,6.06,-18.4562,10411.1,4.111,9
INTJ,789,memory,0.5,0.451529,5.16,-18.6602,10521.69,5.2169,9
INTJ,789,placebo,0.5,0.448069,5.39,-18.6461,10501.92,5.0192,8
INTJ,999,static,0.5,0.405452,10.11,-16.43,15656.36,56.5636,18
INTJ,999,memory,0.5,0.371609,19.55,-16.3096,14241.05,42.4105,33
INTJ,999,placebo,0.5,0.431814,7.11,-17.1065,15496.82,54.9682,14
