Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,Status
9850.38,-1.5,-26.28,200,53.5,15.0,0.1956,10.0,0.2,google/gemma-3-4b-it,ENTJ,static,flat,42,0.92,PASS
9051.89,-9.48,-28.45,200,53.0,15.0,0.1987,0.9,0.2,google/gemma-3-4b-it,ENTJ,memory,flat,42,0.92,PASS
10079.79,0.8,-7.29,3,94.5,15.0,0.4481,55.2,1.0,google/gemma-3-4b-it,ISFJ,static,flat,42,0.92,PASS
10051.27,0.51,-9.45,4,93.5,15.1,0.5366,46.3,1.0,google/gemma-3-4b-it,ISFJ,memory,flat,42,0.92,PASS
10277.54,2.78,-19.01,120,68.5,15.0,0.4286,20.0,0.5,google/gemma-3-4b-it,INTJ,static,flat,42,0.92,PASS
9997.3,-0.03,-23.53,188,55.0,15.0,0.3761,21.0,0.5,google/gemma-3-4b-it,INTJ,memory,flat,42,0.92,PASS
11320.5,13.2,-15.21,199,45.0,15.0,0.2599,20.3,0.2,google/gemma-3-4b-it,ENTJ,static,flat,123,0.92,PASS
11956.37,19.56,-17.23,200,43.0,15.0,0.2135,7.8,0.2,google/gemma-3-4b-it,ENTJ,memory,flat,123,0.92,PASS
11213.29,12.13,-3.22,5,87.5,14.9,0.2365,76.4,1.0,google/gemma-3-4b-it,ISFJ,static,flat,123,0.92,PASS
12153.86,21.54,-4.32,9,88.0,15.0,0.3753,62.5,1.0,google/gemma-3-4b-it,ISFJ,memory,flat,123,0.92,PASS
11025.09,10.25,-15.21,116,61.5,15.0,0.4555,30.2,0.5,google/gemma-3-4b-it,INTJ,static,flat,123,0.92,PASS
11360.43,13.6,-15.13,174,53.5,15.0,0.4023,25.3,0.5,google/gemma-3-4b-it,INTJ,memory,flat,123,0.92,PASS
12268.14,22.68,-27.64,200,51.0,15.0,0.2448,18.3,0.2,google/gemma-3-4b-it,ENTJ,static,flat,456,0.92,PASS
11930.56,19.31,-30.65,200,53.0,15.0,0.2015,4.9,0.2,google/gemma-3-4b-it,ENTJ,memory,flat,456,0.92,PASS
9446.81,-5.53,-10.08,1,69.0,15.0,0.0984,90.2,1.0,google/gemma-3-4b-it,ISFJ,static,flat,456,0.92,PASS
9068.81,-9.31,-16.85,5,68.0,15.0,0.1667,83.3,1.0,google/gemma-3-4b-it,ISFJ,memory,flat,456,0.92,PASS
10655.14,6.55,-26.23,132,60.5,15.0,0.4126,38.0,0.5,google/gemma-3-4b-it,INTJ,static,flat,456,0.92,PASS
12035.57,20.36,-26.17,192,53.5,15.0,0.4106,22.8,0.5,google/gemma-3-4b-it,INTJ,memory,flat,456,0.92,PASS
11016.35,10.16,-15.43,200,49.0,15.0,0.2147,12.8,0.2,google/gemma-3-4b-it,ENTJ,static,flat,789,0.92,PASS
10581.25,5.81,-18.7,200,49.0,15.0,0.2009,2.1,0.2,google/gemma-3-4b-it,ENTJ,memory,flat,789,0.92,PASS
10052.97,0.53,-8.0,1,69.0,15.0,0.1939,80.6,1.0,google/gemma-3-4b-it,ISFJ,static,flat,789,0.92,PASS
9990.47,-0.1,-8.74,3,82.5,15.0,0.2568,74.3,1.0,google/gemma-3-4b-it,ISFJ,memory,flat,789,0.92,PASS
10990.24,9.9,-15.93,110,70.5,15.0,0.44,30.0,0.5,google/gemma-3-4b-it,INTJ,static,flat,789,0.92,PASS
11628.93,16.29,-13.27,183,53.5,15.0,0.417,18.3,0.5,google/gemma-3-4b-it,INTJ,memory,flat,789,0.92,PASS
11147.55,11.48,-16.26,200,53.0,15.0,0.3645,35.9,0.2,google/gemma-3-4b-it,ENTJ,static,flat,999,0.92,PASS
15287.09,52.87,-18.03,200,54.5,15.0,0.2093,9.9,0.2,google/gemma-3-4b-it,ENTJ,memory,flat,999,0.92,PASS
10617.26,6.17,-9.86,1,67.5,15.1,0.2099,79.0,1.0,google/gemma-3-4b-it,ISFJ,static,flat,999,0.92,PASS
11072.38,10.72,-1.1,7,68.0,15.0,0.0802,92.0,1.0,google/gemma-3-4b-it,ISFJ,memory,flat,999,0.92,PASS
10568.72,5.69,-16.59,139,59.0,15.0,0.4369,48.9,0.5,google/gemma-3-4b-it,INTJ,static,flat,999,0.92,PASS
10598.58,5.99,-17.04,192,56.0,15.0,0.4394,39.8,0.5,google/gemma-3-4b-it,INTJ,memory,flat,999,0.92,PASS
11993.57,19.94,-15.74,200,61.5,19.2,0.4379,45.4,0.2,google/gemma-3-4b-it,ENTJ,static,bull_trap,42,0.92,PASS
17463.58,74.64,-15.8,200,36.5,21.3,0.2627,19.6,0.2,google/gemma-3-4b-it,ENTJ,memory,bull_trap,42,0.92,PASS
10000.0,0.0,0.0,10,81.5,0.0,0.0,100.0,1.0,google/gemma-3-4b-it,ISFJ,static,bull_trap,42,0.92,PASS
