Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,T,Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Status
claude-sonnet-4-6,ENTJ,memory,crash,789,0.95,800,521.84,-94.78,-95.71,290,55.0,14.4,0.4889,67.3,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,999,0.92,800,1790.96,-82.09,-87.0,247,81.2,13.6,0.2106,34.0,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,999,0.85,800,1808.91,-81.91,-84.67,269,80.0,12.9,0.2029,35.7,0.2,PASS
claude-sonnet-4-6,ISFJ,static,crash,789,0.85,800,1129.92,-88.7,-95.27,12,100.0,12.5,0.9764,2.4,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,789,0.95,800,1060.02,-89.4,-94.3,13,100.0,14.2,0.9613,3.9,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,789,0.92,800,868.77,-91.31,-94.85,13,100.0,13.7,0.9593,4.1,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,789,0.85,800,919.79,-90.8,-95.58,9,100.0,12.5,0.4889,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,789,0.95,800,1040.57,-89.59,-94.71,9,100.0,14.0,0.4888,1.2,0.5,PASS
claude-sonnet-4-6,ISFJ,memory,crash,789,0.95,800,1025.89,-89.74,-93.78,14,100.0,13.8,0.8354,16.5,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,789,0.92,800,1069.91,-89.3,-94.1,8,100.0,13.7,0.4828,1.8,0.5,PASS
claude-sonnet-4-6,ISFJ,memory,crash,789,0.85,800,1427.13,-85.73,-93.67,14,100.0,12.5,0.8335,16.6,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,789,0.92,800,1174.02,-88.26,-93.8,15,100.0,13.7,0.8819,11.8,1.0,PASS
claude-sonnet-4-6,INTJ,memory,crash,789,0.92,800,873.78,-91.26,-94.98,8,100.0,13.7,0.4754,2.5,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,789,0.95,800,767.78,-92.32,-94.52,6,100.0,14.0,0.488,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,789,0.85,800,1082.07,-89.18,-95.37,8,100.0,12.6,0.4811,1.9,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,crash,999,0.85,800,122.08,-98.78,-99.19,323,48.9,13.3,0.4892,67.1,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,999,0.95,800,1514.6,-84.85,-90.43,197,85.0,13.8,0.1854,29.8,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,999,0.92,800,161.12,-98.39,-98.73,314,51.2,14.1,0.4721,65.4,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,999,0.95,800,286.66,-97.13,-97.62,324,51.2,14.3,0.4669,64.7,0.2,PASS
claude-sonnet-4-6,ISFJ,static,crash,999,0.95,800,1056.45,-89.44,-94.81,13,100.0,14.1,0.9728,2.7,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,999,0.85,800,1177.96,-88.22,-95.4,13,100.0,12.6,0.9777,2.2,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,999,0.92,800,1084.31,-89.16,-94.99,13,100.0,13.6,0.9793,2.1,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,999,0.85,800,1177.33,-88.23,-95.4,9,100.0,12.9,0.4861,1.5,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,999,0.92,800,1083.87,-89.16,-95.0,9,100.0,13.6,0.479,2.1,0.5,PASS
claude-sonnet-4-6,ISFJ,memory,crash,999,0.95,800,1170.18,-88.3,-94.21,14,100.0,14.1,0.8387,16.1,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,999,0.85,800,1312.53,-86.87,-94.69,15,100.0,12.7,0.8354,16.5,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,999,0.92,800,1227.89,-87.72,-94.3,14,99.9,13.6,0.8368,16.3,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,999,0.95,800,1055.3,-89.45,-94.84,9,100.0,14.1,0.4877,1.3,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,999,0.92,800,1085.47,-89.15,-94.98,9,100.0,13.7,0.4817,1.9,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,999,0.85,800,1181.46,-88.19,-95.42,9,100.0,12.5,0.4845,1.6,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,999,0.95,800,1054.68,-89.45,-94.85,8,100.0,14.1,0.4801,2.0,0.5,PASS
