Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,Status
14690.0,46.9,-5.57,6,99.0,19.6,0.3897,61.0,1.0,claude-sonnet-4-6,O1_conservative,static,bull_trap,42,0.92,PASS
15398.64,53.99,-3.16,17,95.0,17.2,0.5315,46.8,1.0,claude-sonnet-4-6,O1_conservative,static,bull_trap,123,0.92,PASS
9207.94,-7.92,-29.04,15,96.5,15.0,0.5357,46.4,1.0,claude-sonnet-4-6,O1_conservative,static,flat,456,0.92,PASS
9571.47,-4.29,-8.1,10,68.5,13.5,0.185,81.5,1.0,claude-sonnet-4-6,O1_conservative,static,crash,999,0.92,PASS
12449.9,24.5,-9.8,28,95.0,15.0,0.4164,58.4,1.0,claude-sonnet-4-6,O1_conservative,static,flat,999,0.92,PASS
13351.42,33.51,-8.66,18,95.5,22.6,0.4262,57.4,1.0,claude-sonnet-4-6,O1_conservative,static,bull_trap,999,0.92,PASS
8794.51,-12.05,-15.3,1,100.0,13.7,0.2462,75.4,1.0,claude-sonnet-4-6,O1_conservative,static,crash,789,0.92,PASS
11762.1,17.62,-13.09,27,91.5,15.0,0.6787,32.1,1.0,claude-sonnet-4-6,O1_conservative,static,flat,123,0.92,PASS
9082.78,-9.17,-12.6,5,99.0,13.6,0.23,77.0,1.0,claude-sonnet-4-6,O1_conservative,static,crash,42,0.92,PASS
9074.76,-9.25,-10.35,2,99.5,13.9,0.2056,79.4,1.0,claude-sonnet-4-6,O1_conservative,static,crash,456,0.92,PASS
9262.93,-7.37,-8.58,8,77.5,14.2,0.1614,83.9,1.0,claude-sonnet-4-6,O1_conservative,static,crash,123,0.92,PASS
9565.6,-4.34,-20.34,11,96.5,15.1,0.8982,10.2,1.0,claude-sonnet-4-6,O1_conservative,static,flat,42,0.92,PASS
14318.15,43.18,-2.63,2,99.0,15.2,0.4801,52.0,1.0,claude-sonnet-4-6,O1_conservative,static,bull_trap,456,0.92,PASS
13605.07,36.05,-2.51,11,99.5,19.0,0.3589,64.1,1.0,claude-sonnet-4-6,O1_conservative,static,bull_trap,789,0.92,PASS
10011.16,0.11,-15.03,12,97.5,15.0,0.5573,44.3,1.0,claude-sonnet-4-6,O1_conservative,static,flat,789,0.92,PASS
9667.97,-3.32,-12.47,3,98.5,15.1,0.4399,56.0,1.0,claude-sonnet-4-6,O1_conservative,memory,flat,42,0.92,PASS
9152.52,-8.47,-17.47,10,97.5,15.0,0.2662,73.4,1.0,claude-sonnet-4-6,O1_conservative,memory,flat,456,0.92,PASS
12357.88,23.58,-2.72,12,99.0,21.6,0.2651,73.5,1.0,claude-sonnet-4-6,O1_conservative,memory,bull_trap,999,0.92,PASS
10246.66,2.47,-5.37,10,97.5,15.0,0.2797,72.0,1.0,claude-sonnet-4-6,O1_conservative,memory,flat,789,0.92,PASS
13822.04,38.22,-6.66,7,99.5,15.1,0.3319,66.8,1.0,claude-sonnet-4-6,O1_conservative,memory,bull_trap,42,0.92,PASS
11549.79,15.5,-8.62,13,96.5,15.0,0.4342,56.6,1.0,claude-sonnet-4-6,O1_conservative,memory,flat,123,0.92,PASS
10734.11,7.34,-2.33,6,98.5,15.1,0.1027,89.7,1.0,claude-sonnet-4-6,O1_conservative,memory,bull_trap,123,0.92,PASS
14530.89,45.31,-2.51,8,100.0,14.9,0.4133,58.7,1.0,claude-sonnet-4-6,O1_conservative,memory,bull_trap,789,0.92,PASS
11433.23,14.33,-3.02,16,90.5,15.0,0.2057,79.4,1.0,claude-sonnet-4-6,O1_conservative,memory,flat,999,0.92,PASS
14523.92,45.24,-3.03,4,99.5,15.1,0.3909,60.9,1.0,claude-sonnet-4-6,O1_conservative,memory,bull_trap,456,0.92,PASS
10000.0,0.0,0.0,0,0.0,0.0,0.0,100.0,1.0,claude-sonnet-4-6,O1_conservative,memory,crash,999,0.92,PASS
9044.49,-9.56,-11.34,5,98.0,13.9,0.2288,77.1,1.0,claude-sonnet-4-6,O1_conservative,memory,crash,456,0.92,PASS
9167.26,-8.33,-9.44,5,98.0,14.0,0.1935,80.7,1.0,claude-sonnet-4-6,O1_conservative,memory,crash,123,0.92,PASS
8676.66,-13.23,-14.76,4,98.5,13.7,0.1955,80.5,1.0,claude-sonnet-4-6,O1_conservative,memory,crash,789,0.92,PASS
9228.19,-7.72,-9.6,5,98.0,13.9,0.1845,81.5,1.0,claude-sonnet-4-6,O1_conservative,memory,crash,42,0.92,PASS
9361.74,-6.38,-24.38,8,97.5,15.0,0.1991,3.7,0.2,claude-sonnet-4-6,O2_aggressive,static,flat,42,0.92,PASS
11083.05,10.83,-15.18,43,87.5,15.0,0.2411,14.7,0.2,claude-sonnet-4-6,O2_aggressive,static,flat,123,0.92,PASS
10307.5,3.08,-18.7,18,94.5,15.0,0.1963,7.4,0.2,claude-sonnet-4-6,O2_aggressive,static,flat,789,0.92,PASS
20132.5,101.32,-5.95,21,94.5,15.0,0.1899,8.6,0.2,claude-sonnet-4-6,O2_aggressive,static,bull_trap,123,0.92,PASS
11166.94,11.67,-30.57,26,95.0,15.0,0.1961,8.7,0.2,claude-sonnet-4-6,O2_aggressive,static,flat,456,0.92,PASS
13561.42,35.61,-17.5,46,90.0,15.0,0.2033,22.1,0.2,claude-sonnet-4-6,O2_aggressive,static,flat,999,0.92,PASS
17518.53,75.19,-14.03,39,93.0,19.6,0.1981,20.2,0.2,claude-sonnet-4-6,O2_aggressive,static,bull_trap,999,0.92,PASS
19192.99,91.93,-5.57,32,96.0,18.6,0.1975,19.6,0.2,claude-sonnet-4-6,O2_aggressive,static,bull_trap,789,0.92,PASS
17904.5,79.04,-4.37,26,95.0,19.1,0.155,19.1,0.2,claude-sonnet-4-6,O2_aggressive,static,bull_trap,456,0.92,PASS
23233.63,132.34,-11.82,33,93.5,22.3,0.1863,13.0,0.2,claude-sonnet-4-6,O2_aggressive,static,bull_trap,42,0.92,PASS
9483.71,-5.16,-17.35,52,76.0,13.6,0.2927,37.7,0.2,claude-sonnet-4-6,O2_aggressive,static,crash,999,0.92,PASS
8096.92,-19.03,-21.89,56,84.5,13.7,0.2547,28.6,0.2,claude-sonnet-4-6,O2_aggressive,static,crash,123,0.92,PASS
7180.24,-28.2,-38.96,23,96.0,13.8,0.2056,11.1,0.2,claude-sonnet-4-6,O2_aggressive,static,crash,42,0.92,PASS
9229.78,-7.7,-22.13,64,72.5,13.6,0.3358,45.7,0.2,claude-sonnet-4-6,O2_aggressive,static,crash,789,0.92,PASS
7969.49,-20.31,-24.19,38,87.5,13.6,0.2005,22.0,0.2,claude-sonnet-4-6,O2_aggressive,static,crash,456,0.92,PASS
12954.03,29.54,-17.91,22,84.0,15.0,0.2966,22.7,0.2,claude-sonnet-4-6,O2_aggressive,memory,flat,456,0.92,PASS
